"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,260.0643,260.0643,1535.1485,265.7939,
1,0.44958,0.29664,0.29664,1148.0802,33.8632,
2,0.72128,0.19162,0.19162,993.863,24.6974,
3,0.9708,0.086896,0.086896,857.9298,17.7349,
4,1.2631,0.073565,0.073565,820.4291,14.851,
5,1.5194,0.036478,0.036478,804.1922,14.746,
6,1.7761,0.035032,0.035032,793.2916,14.4381,
7,2.0776,0.022232,0.022232,785.9372,13.2122,
8,2.3853,0.015261,0.015261,771.8235,12.0232,
9,2.672,0.011919,0.011919,766.6867,11.2474,
10,2.9442,0.0096618,0.0096618,762.8172,10.5249,
11,3.2959,0.0084238,0.0084238,758.8744,8.6318,
12,3.6274,0.0024323,0.0024323,757.0529,8.2983,
13,3.9836,0.0021846,0.0021846,754.6833,8.0174,
14,4.326,0.0016866,0.0016866,753.2928,8.7762,
15,4.7762,0.0011793,0.0011793,752.6611,9.2852,
16,5.2141,0.0010268,0.0010268,752.3804,9.7445,
17,5.57,0.00066863,0.00066863,752.1146,9.8929,
18,6.0726,0.00080464,0.00080464,749.5084,10.6245,
19,6.4295,0.00040099,0.00040099,748.1971,11.598,
20,6.9153,0.00042899,0.00042899,745.9324,11.7016,
21,6.9228,0.00026727,0.00026727,745.9372,11.7012,
22,6.9281,0.000267,0.000267,745.9372,11.7012,
23,6.9359,0.00014806,0.00014806,745.9418,11.7009,
24,6.9413,0.000148,0.000148,745.9418,11.7009,
25,6.9484,7.7446e-05,7.7446e-05,745.9455,11.7006,
26,6.954,7.615e-05,7.615e-05,745.9456,11.7006,
27,6.9631,3.7213e-05,3.7213e-05,745.9484,11.7004,
28,6.9685,3.7124e-05,3.7124e-05,745.9484,11.7004,
29,6.9758,2.0219e-05,2.0219e-05,745.9502,11.7003,
30,6.9818,1.7608e-05,1.7608e-05,745.9505,11.7003,
