"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,6.7672,6.7672,38.9552,10.3429,
1,0.031387,3.0683,3.0683,29.9631,7.6055,
2,0.05395,0.1429,0.1429,33.9368,5.2218,
3,0.10075,0.029949,0.029949,34.3836,4.8765,
4,0.12434,0.023862,0.023862,34.4222,4.8441,
5,0.14301,0.019239,0.019239,34.4547,4.8165,
6,0.16664,0.015754,0.015754,34.4817,4.7934,
7,0.22496,0.0044113,0.0044113,34.6007,4.6882,
8,0.23454,0.0034687,0.0034687,34.6156,4.6757,
9,0.24749,0.0027431,0.0027431,34.6285,4.6647,
10,0.27385,0.0021832,0.0021832,34.6396,4.653,
11,0.28051,0.0017555,0.0017555,34.6491,4.645,
12,0.28719,0.0014317,0.0014317,34.657,4.6383,
13,0.2938,0.001189,0.001189,34.6636,4.6326,
14,0.30439,0.0003274,0.0003274,34.6956,4.6055,
15,0.31144,0.00025991,0.00025991,34.6994,4.6022,
16,0.3183,0.0002068,0.0002068,34.7028,4.5992,
17,0.32553,0.00016601,0.00016601,34.7057,4.5967,
18,0.33378,0.00013487,0.00013487,34.7082,4.5945,
19,0.34104,0.00011137,0.00011137,34.7102,4.5926,
20,0.35076,3.1506e-05,3.1506e-05,34.7198,4.5845,
21,0.35881,2.4839e-05,2.4839e-05,34.721,4.5834,
22,0.3664,1.9729e-05,1.9729e-05,34.722,4.5824,
23,0.37407,1.5797e-05,1.5797e-05,34.7229,4.5816,
24,0.38055,1.2801e-05,1.2801e-05,34.7237,4.581,
25,0.3872,1.0522e-05,1.0522e-05,34.7244,4.5804,
26,0.39773,3.0359e-06,3.0359e-06,34.7273,4.5779,
27,0.40687,2.3797e-06,2.3797e-06,34.7276,4.5776,
28,0.41525,1.8869e-06,1.8869e-06,34.728,4.5773,
29,0.42116,1.5082e-06,1.5082e-06,34.7282,4.577,
30,0.42707,1.2184e-06,1.2184e-06,34.7285,4.5768,
