"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,29.5415,29.5415,347.693,37.7922,
1,0.28749,0.67881,0.67881,187.3271,8.1428,
2,0.32119,0.084467,0.084467,188.203,8.0251,
3,0.372,0.023993,0.023993,188.4252,8.0066,
4,0.3804,0.018907,0.018907,188.4536,8.008,
5,0.38948,0.014987,0.014987,188.4783,8.009,
6,0.39838,0.011978,0.011978,188.4996,8.0096,
7,0.41333,0.0096892,0.0096892,188.5176,8.0098,
8,0.42263,0.007982,0.007982,188.5325,8.0098,
9,0.43478,0.0023095,0.0023095,188.6001,8.0133,
10,0.44194,0.0018178,0.0018178,188.609,8.0135,
11,0.4497,0.0014385,0.0014385,188.6167,8.0138,
12,0.45683,0.0011468,0.0011468,188.6233,8.014,
13,0.46974,0.00092396,0.00092396,188.629,8.0141,
14,0.48757,0.00075635,0.00075635,188.6338,8.0142,
15,0.50431,0.00022199,0.00022199,188.6544,8.0153,
16,0.51283,0.00017552,0.00017552,188.6571,8.0154,
17,0.51931,0.00013863,0.00013863,188.6595,8.0155,
18,0.52755,0.00011027,0.00011027,188.6616,8.0156,
19,0.53388,8.8546e-05,8.8546e-05,188.6634,8.0156,
20,0.54036,7.2115e-05,7.2115e-05,188.6649,8.0157,
21,0.5501,2.1471e-05,2.1471e-05,188.6712,8.0161,
22,0.55762,1.6884e-05,1.6884e-05,188.6721,8.0161,
23,0.56395,1.3317e-05,1.3317e-05,188.6728,8.0161,
24,0.57116,1.0566e-05,1.0566e-05,188.6735,8.0161,
25,0.57767,8.4567e-06,8.4567e-06,188.6741,8.0162,
26,0.58428,6.8565e-06,6.8565e-06,188.6745,8.0162,
27,0.59098,2.4824e-06,2.4824e-06,188.6762,8.0163,
28,0.59779,1.5913e-06,1.5913e-06,188.6768,8.0163,
29,0.60361,1.2769e-06,1.2769e-06,188.677,8.0163,
30,0.60963,1.0087e-06,1.0087e-06,188.6772,8.0163,
