"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,117.5873,95.7224,5.1351e-05,NaN,NaN,NaN,NaN,1,105.9896,104.8971,104.8971,
1,110.5461,22.3949,0.028348,0.0625,0,2.0814,1,1,99.2955,98.1882,98.1882,
2,103.4192,10.6572,0.055695,1,0,1.4878,1,1,51.0699,49.9546,49.9546,
3,73.5032,20.7794,0.087375,0.5,0,8.2321,1,1,19.2692,11.2626,11.2626,
4,67.0255,134.9013,0.12782,0.0078125,0,2.0109,1,5.6704,15.6719,5.86,5.86,
5,67.0205,14.2958,0.17901,0.0078125,0,0.031056,1,5.6704,15.6575,5.8411,5.8411,
6,62.4356,13.8546,0.21965,0.0625,0,0.72327,1,5.6704,15.4522,6.1098,6.1098,
7,61.8494,20.3755,0.26546,0.0039063,0,0.23845,1,5.6704,15.4428,6.1255,6.1255,
8,61.5337,13.4151,0.29911,0.0625,0,0.092574,1,5.6704,15.2324,5.9655,5.9655,
9,61.3468,44.0383,0.32746,0.00048828,0,0.10312,1,5.6704,15.2528,5.9831,5.9831,
10,61.2937,13.25,0.35583,0.125,0,0.13328,1,5.6704,15.0434,5.7356,5.7356,
11,56.5182,32.8473,0.38967,0.0625,0,2.3039,1,5.6704,11.6456,2.4598,2.4598,
12,54.9574,256.6268,0.42337,0.00097656,0,1.6088,1,27.6484,11.2956,0.90184,0.90184,
13,55.0197,11.9381,0.45441,1,0,0.12195,1,27.6484,11.2402,0.43999,0.43999,
14,54.3947,14.2859,0.48255,0.015625,0,0.64818,1,27.6484,11.1136,0.41582,0.41582,
15,54.394,70.3727,0.50935,7.6294e-06,0,0.0006201,1,27.6484,11.1135,0.41583,0.41583,
16,53.9988,1856.6565,0.53489,6.1035e-05,0,0.72726,1,412.699,11.1207,0.23034,0.23034,
17,53.9545,10.5194,0.55879,0.5,0,0.057099,1,412.699,11.1123,0.21014,0.21014,
18,53.9441,11.71,0.58319,0.00097656,0,0.002767,1,412.699,11.1103,0.21014,0.21014,
19,53.7645,47.3967,0.60717,0.00097656,0,0.12619,1,412.699,11.1326,0.2104,0.2104,
20,53.4439,11.8211,0.6306,1,0,0.055024,1,412.699,11.0644,0.069634,0.069634,
21,53.1487,116.1392,0.65585,0.00048828,0,0.25156,1,412.699,11.0724,0.066845,0.066845,
22,53.1374,9.6864,0.69231,0.0625,0,0.0090784,1,412.699,11.0715,0.065066,0.065066,
23,53.1372,34.1562,0.71894,7.6294e-06,0,0.00017658,1,412.699,11.0715,0.065066,0.065066,
24,53.066,2354.6889,0.7461,2.3842e-07,0,0.67701,1,6227.6487,10.9382,0.0015072,0.0015072,
25,53.0603,10.5117,0.76994,1,0,0.0061625,1,6227.6487,10.9382,0.0010902,0.0010902,
26,53.0599,12.0915,0.79486,0.00024414,0,9.5673e-05,1,6227.6487,10.9381,0.0010902,0.0010902,
