"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,1018.2031,1018.2031,19766.2972,1035.9817,
1,0.69806,0.23047,0.23047,19708.3409,194.3242,
2,1.2128,0.31548,0.31548,18966.2495,193.042,
3,1.8303,0.13253,0.13253,16768.584,170.3053,
4,2.4702,0.080257,0.080257,15854.8434,151.2631,
5,3.0319,0.058099,0.058099,15383.8844,137.4546,
6,3.7229,0.11649,0.11649,14748.1837,126.5082,
7,4.2801,0.015736,0.015736,14562.0719,91.9574,
8,4.8782,0.03804,0.03804,14156.0667,115.4567,
9,5.451,0.017281,0.017281,14053.8105,86.8052,
10,6.0486,0.016739,0.016739,13976.1441,109.686,
11,6.7267,0.010092,0.010092,13688.1888,81.1569,
12,7.1752,0.0028817,0.0028817,13656.1861,80.0719,
13,7.6685,0.005381,0.005381,13620.4493,89.337,
14,8.1302,0.0042407,0.0042407,13465.1138,84.1,
15,8.8655,0.0040838,0.0040838,13397.6269,80.7212,
16,9.4392,0.0025768,0.0025768,13356.6203,78.0193,
17,9.9504,0.0025852,0.0025852,13326.1239,76.4374,
18,10.5821,0.0024274,0.0024274,13310.4201,72.516,
19,11.1065,0.00091428,0.00091428,13303.9849,73.029,
20,11.8155,0.00089979,0.00089979,13233.1161,77.1844,
21,12.3966,0.00095796,0.00095796,13205.2429,72.8317,
22,13.1401,0.00038966,0.00038966,13175.8297,80.2576,
23,13.8603,0.00014785,0.00014785,13139.3832,80.72,
24,14.681,0.00024928,0.00024928,13118.1143,77.1581,
25,14.7058,8.687e-05,8.687e-05,13118.1308,77.1538,
26,15.3587,0.0001374,0.0001374,13105.8794,76.9589,
27,15.3748,4.0262e-05,4.0262e-05,13105.8225,76.9624,
28,15.9655,3.639e-05,3.639e-05,13087.6956,83.6804,
29,15.981,1.7511e-05,1.7511e-05,13087.692,83.6733,
30,16.6665,2.3673e-05,2.3673e-05,13067.4837,78.7426,
31,16.6792,8.5005e-06,8.5005e-06,13067.4822,78.7425,
32,16.6898,8.2713e-06,8.2713e-06,13067.481,78.7424,
