"iter","time","maxviolation","meanviolation","cost",
0,0,43.7273,43.7273,127.6156,
1,0.25821,0.11334,0.11334,39.7922,
2,0.49811,0.042506,0.042506,30.1236,
3,0.59401,0.017438,0.017438,25.6226,
4,0.60132,0.016096,0.016096,25.6244,
5,0.60831,0.013134,0.013134,25.6286,
6,0.61689,0.0088424,0.0088424,25.6358,
7,0.62421,0.006844,0.006844,25.6397,
8,0.63173,0.0056527,0.0056527,25.6423,
9,0.64009,0.003864,0.003864,25.6468,
10,0.64761,0.0030145,0.0030145,25.6493,
11,0.65492,0.0024999,0.0024999,25.651,
12,0.6628,0.0017218,0.0017218,25.654,
13,0.67043,0.001342,0.001342,25.6556,
14,0.67827,0.0011145,0.0011145,25.6568,
15,0.68521,0.00076943,0.00076943,25.6587,
16,0.69248,0.00060019,0.00060019,25.6598,
17,0.69941,0.00049867,0.00049867,25.6606,
18,0.70999,0.0003443,0.0003443,25.6619,
19,0.72036,0.00026868,0.00026868,25.6626,
20,0.72889,0.0002233,0.0002233,25.6631,
21,0.73682,0.00015429,0.00015429,25.664,
22,0.74503,0.0001204,0.0001204,25.6645,
23,0.75258,0.00010006,0.00010006,25.6648,
24,0.76089,6.9108e-05,6.9108e-05,25.6654,
25,0.76835,5.699e-05,5.699e-05,25.6657,
26,0.77595,4.1113e-05,4.1113e-05,25.6661,
27,0.78217,4.0987e-05,4.0987e-05,25.6661,
28,0.7901,2.5368e-05,2.5368e-05,25.6666,
29,0.79665,2.5267e-05,2.5267e-05,25.6666,
30,0.8056,1.391e-05,1.391e-05,25.667,
31,0.81209,1.3923e-05,1.3923e-05,25.667,
