"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,712.5544,712.5544,9711.9527,729.2719,
1,0.63872,1.9796,1.9796,7023.008,58.8207,
2,1.2022,0.2527,0.2527,6740.2414,52.4825,
3,1.8805,0.039798,0.039798,6647.1884,53.9063,
4,2.4366,0.032631,0.032631,6609.9907,50.1087,
5,3.1671,0.0091809,0.0091809,6591.3355,50.6315,
6,3.8853,0.0070629,0.0070629,6546.6799,49.9558,
7,4.4373,0.0086753,0.0086753,6524.8082,46.248,
8,5.0795,0.0045273,0.0045273,6514.6602,44.5913,
9,5.6987,0.003575,0.003575,6506.0363,44.8944,
10,6.4255,0.0035672,0.0035672,6482.5355,42.9954,
11,7.0625,0.0010314,0.0010314,6478.1695,41.938,
12,7.7172,0.00063856,0.00063856,6472.8717,43.6125,
13,8.5128,0.0007585,0.0007585,6452.9649,39.9407,
14,9.2307,0.0004005,0.0004005,6449.3574,39.3779,
15,9.9681,0.00030055,0.00030055,6444.376,39.607,
16,10.7591,0.00012051,0.00012051,6437.1119,37.6202,
17,11.5294,0.00019416,0.00019416,6434.3394,36.8705,
18,12.2895,0.00015448,0.00015448,6432.1709,36.1298,
19,12.3178,4.5002e-05,4.5002e-05,6432.1804,36.1249,
20,12.3285,3.4819e-05,3.4819e-05,6432.1812,36.1239,
21,12.345,2.7577e-05,2.7577e-05,6432.1817,36.1229,
22,12.3615,2.1991e-05,2.1991e-05,6432.1821,36.122,
23,12.3755,1.7369e-05,1.7369e-05,6432.1826,36.1213,
24,12.3895,1.428e-05,1.428e-05,6432.1827,36.1206,
25,12.4045,1.2175e-05,1.2175e-05,6432.1821,36.1195,
26,12.4156,4.7047e-06,4.7047e-06,6432.1846,36.1187,
27,12.4254,2.3755e-06,2.3755e-06,6432.1858,36.1182,
28,12.4348,2.0561e-06,2.0561e-06,6432.1857,36.118,
29,12.4441,1.6617e-06,1.6617e-06,6432.1859,36.1178,
30,12.4542,1.3393e-06,1.3393e-06,6432.1859,36.1175,
