"iter","time","maxviolation","meanviolation","cost",
0,0,36.9074,36.9074,557.2532,
1,0.33264,0.2154,0.2154,315.6286,
2,0.64736,0.051495,0.051495,313.3617,
3,0.74135,0.036524,0.036524,313.0554,
4,0.74941,0.02967,0.02967,313.0702,
5,0.79036,0.02445,0.02445,313.0827,
6,0.84851,0.0067983,0.0067983,313.14,
7,0.85673,0.0053643,0.0053643,313.1471,
8,0.86469,0.0042589,0.0042589,313.1532,
9,0.87676,0.0034094,0.0034094,313.1585,
10,0.88509,0.0027597,0.0027597,313.163,
11,0.89344,0.0022674,0.0022674,313.1668,
12,0.90445,0.00065057,0.00065057,313.1837,
13,0.913,0.00051262,0.00051262,313.1859,
14,0.92177,0.00040633,0.00040633,313.1878,
15,0.9303,0.00032452,0.00032452,313.1894,
16,0.93924,0.00026181,0.00026181,313.1908,
17,0.94791,0.00021409,0.00021409,313.192,
18,0.9564,0.0001783,0.0001783,313.193,
19,0.96976,4.9139e-05,4.9139e-05,313.1978,
20,0.97823,3.8904e-05,3.8904e-05,313.1984,
21,0.98643,3.1002e-05,3.1002e-05,313.1989,
22,0.99558,2.4938e-05,2.4938e-05,313.1994,
23,1.0085,2.0314e-05,2.0314e-05,313.1998,
24,1.0171,1.684e-05,1.684e-05,313.2001,
25,1.0295,4.7176e-06,4.7176e-06,313.2015,
26,1.0372,3.6806e-06,3.6806e-06,313.2017,
27,1.0452,2.9384e-06,2.9384e-06,313.2019,
28,1.0531,2.3792e-06,2.3792e-06,313.202,
29,1.0611,1.9308e-06,1.9308e-06,313.2021,
30,1.0692,1.5916e-06,1.5916e-06,313.2022,
