"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,46.1676,46.1676,79.1915,47.0469,
1,0.20223,0.22449,0.22449,24.9071,3.9773,
2,0.24289,0.04906,0.04906,25.1389,3.9073,
3,0.27167,0.039239,0.039239,25.1602,3.9013,
4,0.28874,0.031797,0.031797,25.1782,3.8961,
5,0.34259,0.0095388,0.0095388,25.2512,3.8746,
6,0.3494,0.0074814,0.0074814,25.2613,3.8731,
7,0.36047,0.0058886,0.0058886,25.2701,3.8714,
8,0.36793,0.0046662,0.0046662,25.2777,3.8702,
9,0.37976,0.003723,0.003723,25.2843,3.8687,
10,0.39052,0.0030025,0.0030025,25.2899,3.8673,
11,0.4007,0.0024649,0.0024649,25.2945,3.866,
12,0.41521,0.0007183,0.0007183,25.3151,3.8626,
13,0.42711,0.00056514,0.00056514,25.3178,3.8621,
14,0.43891,0.00044712,0.00044712,25.3202,3.8617,
15,0.44691,0.00035649,0.00035649,25.3222,3.8614,
16,0.45513,0.00028704,0.00028704,25.3239,3.8611,
17,0.4634,0.00023478,0.00023478,25.3254,3.8608,
18,0.47373,6.9024e-05,6.9024e-05,25.3317,3.8599,
19,0.48464,5.4434e-05,5.4434e-05,25.3325,3.8597,
20,0.49365,4.296e-05,4.296e-05,25.3333,3.8596,
21,0.50432,3.4114e-05,3.4114e-05,25.3339,3.8595,
22,0.51544,2.7332e-05,2.7332e-05,25.3345,3.8594,
23,0.52654,2.225e-05,2.225e-05,25.3349,3.8593,
24,0.53888,6.6588e-06,6.6588e-06,25.3368,3.859,
25,0.54682,5.2471e-06,5.2471e-06,25.3371,3.859,
26,0.55446,4.1335e-06,4.1335e-06,25.3373,3.8589,
27,0.56309,3.2797e-06,3.2797e-06,25.3375,3.8589,
28,0.57353,2.6267e-06,2.6267e-06,25.3377,3.8589,
29,0.58053,2.1304e-06,2.1304e-06,25.3378,3.8588,
30,0.58646,1.7583e-06,1.7583e-06,25.338,3.8588,
