"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,8.3193,8.3193,36.9144,10.8539,
1,0.1017,0.39989,0.39989,19.1771,1.8283,
2,0.19715,0.038683,0.038683,19.735,1.1042,
3,0.20648,0.038683,0.038683,19.735,1.1042,
4,0.21928,0.038683,0.038683,19.735,1.1042,
5,0.35091,0.0037483,0.0037483,19.9155,0.68357,
6,0.36248,0.0037483,0.0037483,19.9155,0.68357,
7,0.37429,0.0037483,0.0037483,19.9155,0.68357,
8,0.38503,0.0037483,0.0037483,19.9155,0.68357,
9,0.39528,0.0037483,0.0037483,19.9155,0.68357,
10,0.40549,0.0037483,0.0037483,19.9155,0.68357,
11,0.5929,0.00035243,0.00035243,19.9738,0.40465,
12,0.60942,0.00035243,0.00035243,19.9738,0.40465,
13,0.62925,0.00035243,0.00035243,19.9738,0.40465,
14,0.64814,0.00035243,0.00035243,19.9738,0.40465,
15,0.66451,0.00035243,0.00035243,19.9738,0.40465,
16,0.68105,0.00035243,0.00035243,19.9738,0.40465,
17,0.75107,3.9785e-05,3.9785e-05,19.9912,0.24642,
18,0.7639,3.9785e-05,3.9785e-05,19.9912,0.24642,
19,0.77652,3.9785e-05,3.9785e-05,19.9912,0.24642,
20,0.78922,3.9785e-05,3.9785e-05,19.9912,0.24642,
21,0.80177,3.9785e-05,3.9785e-05,19.9912,0.24642,
22,0.81585,3.9785e-05,3.9785e-05,19.9912,0.24642,
23,0.82981,3.9785e-05,3.9785e-05,19.9912,0.24642,
24,0.84422,3.9785e-05,3.9785e-05,19.9912,0.24642,
25,0.86673,3.9785e-05,3.9785e-05,19.9912,0.24642,
26,0.88364,3.9785e-05,3.9785e-05,19.9912,0.24642,
27,0.90081,3.9785e-05,3.9785e-05,19.9912,0.24642,
28,0.91907,3.9785e-05,3.9785e-05,19.9912,0.24642,
29,0.93813,3.9785e-05,3.9785e-05,19.9912,0.24642,
30,0.97344,3.9785e-05,3.9785e-05,19.9912,0.24642,
