"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,58.6282,10.0469,0.00014877,NaN,NaN,NaN,NaN,1,11.6668,2.9235,2.9235,
1,41.6276,10.2302,0.093298,1,0,2.3611,1,1.7297,8.8328,2.3603,2.3603,
2,36.0336,18.0326,0.11215,0.25,0,1.5417,1,1.9082,6.428,2.5512,2.5512,
3,36.0092,4.0859,0.12606,1,0,0.37784,1,1.9082,4.5616,0.73658,0.73658,
4,34.7787,1.1827,0.13867,1,0,0.76474,1,1.9082,1.7786,0.47891,0.47891,
5,34.7013,0.92211,0.17518,0.25,0,0.18297,1,1.9082,2.3633,0.44599,0.44599,
6,35.0575,0.38399,0.18326,1,0,0.27697,1,1.9082,2.0448,0.12905,0.12905,
7,35.1766,0.22485,0.19144,0.5,0,0.069483,1,2.8537,2.0841,0.073275,0.073275,
8,35.2734,0.37281,0.2001,0.5,0,0.050463,1,4.2625,2.1471,0.041245,0.041245,
9,35.3495,0.43446,0.20764,0.5,0,0.038768,1,5.9807,2.2055,0.023141,0.023141,
10,35.4081,0.45735,0.21451,0.5,0,0.029455,1,8.1928,2.2527,0.01298,0.01298,
11,35.4529,0.46632,0.22157,0.5,0,0.022156,1,11.106,2.2891,0.0072829,0.0072829,
12,35.4868,0.47039,0.23119,0.5,0,0.016612,1,14.9739,2.3167,0.0040885,0.0040885,
13,35.5125,0.47269,0.2427,0.5,0,0.012447,1,20.1236,2.3374,0.0022963,0.0022963,
14,35.5318,0.47424,0.24968,0.5,0,0.0093271,1,26.9865,2.3529,0.0012901,0.0012901,
15,35.5463,0.47546,0.25663,0.5,0,0.0069876,1,36.1361,2.3645,0.00072506,0.00072506,
16,35.5573,0.47641,0.26334,0.5,0,0.0052369,1,48.3349,2.3731,0.00040757,0.00040757,
17,35.5655,0.47717,0.27025,0.5,0,0.0039258,1,64.5997,2.3796,0.00022914,0.00022914,
18,35.5717,0.47777,0.27827,0.5,0,0.0029426,1,86.2862,2.3844,0.00012884,0.00012884,
19,35.5763,0.47825,0.28548,0.5,0,0.0022056,1,115.202,2.3881,7.2454e-05,7.2454e-05,
20,35.5798,0.47861,0.29387,0.5,0,0.0016537,1,153.7562,2.3908,4.0746e-05,4.0746e-05,
21,35.5824,0.47889,0.30374,0.5,0,0.0012401,1,205.1617,2.3928,2.2916e-05,2.2916e-05,
22,35.5844,0.47911,0.31307,0.5,0,0.00092971,1,273.7028,2.3943,1.2889e-05,1.2889e-05,
23,35.5859,0.47927,0.32198,0.5,0,0.00069729,1,365.0906,2.3955,7.2493e-06,7.2493e-06,
24,35.5881,0.48026,0.33051,1,0,0.0010456,1,486.9413,2.3972,1.8116e-06,1.8116e-06,
25,35.5874,0.015377,0.33872,1,0,0.00039879,1,486.9413,2.3966,2.9628e-06,2.9628e-06,
26,35.5876,0.0080789,0.34739,1,0,6.9064e-05,1,502.1885,2.3967,2.6454e-06,2.6454e-06,
