"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,133.1157,5.626e-05,NaN,NaN,NaN,NaN,NaN,80.3783,80.3783,
1,133.1157,0.10298,6.3159,0.03125,0,2.0709,1,75.3763,75.3763,
2,119.5272,0.16197,1.4951,1,0,1.4595,1,66.1892,66.1892,
3,105.7095,0.48651,77.4705,0.03125,0,5.9019,1,47.1207,47.1207,
4,103.3536,0.55516,0.31996,0.125,0,0.31963,1,44.4959,44.4959,
5,87.7558,0.74853,43.1376,0.0625,0,3.0754,1,30.4439,30.4439,
6,89.0592,0.91225,6.7983,0.015625,0,2.0871,1,28.8147,28.8147,
7,92.7653,0.97107,0.72937,1,0,0.72534,1,14.1563,14.1563,
8,82.3126,1.0916,403.9753,0.25,0,2.7238,1,2.0424,2.0424,
9,81.8238,1.1528,0.051346,0.0078125,0,0.051345,1,2.1047,2.1047,
10,81.5615,1.2353,1.8258,0.0019531,0,1.1586,1,2.0192,2.0192,
11,80.7927,1.2953,0.093572,0.125,0,0.093564,1,2.0369,2.0369,
12,82.5558,1.4156,18.9556,0.015625,0,2.685,1,0.4666,0.4666,
13,81.6052,1.4727,0.10449,1,0,0.10448,1,0.32625,0.32625,
14,80.5992,1.6391,1.0231,0.00024414,0,0.85943,1,0.05975,0.05975,
15,80.2659,1.9618,0.78004,0.00048828,0,0.71283,1,0.0016639,0.0016639,
16,79.0662,2.1173,0.34853,2.3842e-07,0,0.33883,1,0.00047494,0.00047494,
17,79.036,2.1743,0.0035935,1,0,0.0035935,1,0.00037978,0.00037978,
18,79.2197,2.4594,0.15017,0.0019531,0,0.14958,1,6.9601e-05,6.9601e-05,
19,79.2284,2.5154,0.0010607,0.5,0,0.0010607,-6,6.7962e-05,6.7962e-05,
20,79.2178,2.7553,0.13937,3.0518e-05,0,0.13865,1,2.1863e-06,2.1863e-06,
21,79.2196,2.8098,0.0002154,1,0,0.0002154,1,1.3618e-06,1.3618e-06,
22,79.191,3.4831,0.062772,7.4506e-09,0,0.062714,1,6.4185e-07,6.4185e-07,
23,77.9004,3.7933,10.7101,4.6566e-10,1,2.042,0,3.5254,3.5254,
24,79.7064,7.6138,4.3384,0.0039063,0,1.9267,1,1.9732,1.9732,
25,81.1065,9.8016,0.20417,1,0,0.20409,-6,1.6501,1.6501,
26,82.6681,12.3119,2.7406,0.0078125,0,1.5418,1,0.59252,0.59252,
27,82.4968,14.3541,0.025928,1,0,0.025928,-6,0.40235,0.40235,
28,81.5051,17.6172,1.5186,0.00024414,0,1.1503,1,0.14509,0.14509,
29,81.605,19.6962,0.014968,0.0625,0,0.014968,1,0.14247,0.14247,
30,81.1401,24.2288,0.874,0.0019531,0,0.75571,1,0.024627,0.024627,
31,81.2559,26.226,0.017576,1,0,0.017576,-6,0.010045,0.010045,
32,81.7445,32.4883,0.43612,3.0518e-05,0,0.42159,1,0.00050643,0.00050643,
33,81.7538,34.7058,0.0014324,1,0,0.0014324,1,0.00023253,0.00023253,
34,81.7479,38.6533,0.1315,3.8147e-06,0,0.13087,1,4.8506e-05,4.8506e-05,
35,81.7526,40.6297,0.00074765,1,0,0.00074765,1,1.5676e-05,1.5676e-05,
36,81.8371,49.9558,0.077607,7.4506e-09,0,0.077519,-6,9.1723e-07,9.1723e-07,
37,81.8314,50.6133,0.055888,2.9802e-08,0,0.055848,1,3.6285e-07,3.6285e-07,
38,81.3611,50.9714,0.68226,4.6566e-10,1,0.64119,0,0.042427,0.042427,
39,81.3065,51.5865,0.78545,9.5367e-07,0,0.71694,1,0.0049725,0.0049725,
40,81.292,53.7075,0.0026383,0.0625,0,0.0026383,1,0.0048582,0.0048582,
41,81.6813,54.2576,0.34406,0.00097656,0,0.33508,1,0.00035963,0.00035963,
42,81.6636,56.4575,0.0032751,1,0,0.0032751,-6,0.00024124,0.00024124,
43,81.7443,56.9238,0.20437,3.7253e-09,0,0.20228,-6,3.2445e-05,3.2445e-05,
44,81.7462,58.8915,0.00033254,0.125,0,0.00033254,-6,3.1488e-05,3.1488e-05,
45,81.6734,60.26,0.082872,7.4506e-09,0,0.082753,1,5.0864e-06,5.0864e-06,
46,81.6736,60.3176,4.4962e-05,0.015625,0,4.4962e-05,-6,5.0621e-06,5.0621e-06,
