"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,8.4287,8.4287,43.4111,14.0391,
1,0.03919,1.2722,1.2722,32.825,4.4324,
2,0.065325,0.083998,0.083998,34.459,3.189,
3,0.10611,0.022653,0.022653,34.6782,3.0217,
4,0.12208,0.017677,0.017677,34.7046,2.9995,
5,0.14469,0.013866,0.013866,34.7273,2.9799,
6,0.16621,0.010962,0.010962,34.7466,2.9628,
7,0.18711,0.0087497,0.0087497,34.763,2.9479,
8,0.20875,0.0070826,0.0070826,34.7767,2.9353,
9,0.25595,0.0020784,0.0020784,34.8321,2.8816,
10,0.26415,0.0016284,0.0016284,34.8395,2.8794,
11,0.27389,0.0012815,0.0012815,34.8459,2.8773,
12,0.28225,0.0010159,0.0010159,34.8515,2.8756,
13,0.28942,0.0008112,0.0008112,34.8563,2.8739,
14,0.29587,0.00065542,0.00065542,34.8603,2.8724,
15,0.30193,0.00053888,0.00053888,34.8637,2.8711,
16,0.31054,0.00015611,0.00015611,34.8788,2.8667,
17,0.317,0.00012276,0.00012276,34.8808,2.8659,
18,0.32343,9.7064e-05,9.7064e-05,34.8826,2.8652,
19,0.33038,7.732e-05,7.732e-05,34.884,2.8646,
20,0.33683,6.2242e-05,6.2242e-05,34.8853,2.864,
21,0.34344,5.088e-05,5.088e-05,34.8864,2.8635,
22,0.35535,1.4996e-05,1.4996e-05,34.891,2.8621,
23,0.36127,1.1784e-05,1.1784e-05,34.8916,2.8618,
24,0.36718,9.3032e-06,9.3032e-06,34.8921,2.8616,
25,0.37337,7.3943e-06,7.3943e-06,34.8926,2.8615,
26,0.37963,5.9335e-06,5.9335e-06,34.893,2.8613,
27,0.38656,4.828e-06,4.828e-06,34.8933,2.8612,
28,0.39626,1.4403e-06,1.4403e-06,34.8947,2.8607,
29,0.40346,1.134e-06,1.134e-06,34.8949,2.8607,
30,0.40968,8.9247e-07,8.9247e-07,34.8951,2.8606,
