"iter","time","maxviolation","meanviolation","cost",
0,0,0.5199,0.5199,107.5615,
1,0.098424,0.27842,0.27842,36.8501,
2,0.12539,0.054724,0.054724,37.1564,
3,0.14405,0.044176,0.044176,37.181,
4,0.16378,0.036274,0.036274,37.2015,
5,0.19838,0.010539,0.010539,37.2924,
6,0.2082,0.0082892,0.0082892,37.3045,
7,0.2182,0.0065534,0.0065534,37.3149,
8,0.22827,0.0052173,0.0052173,37.3239,
9,0.25021,0.0041991,0.0041991,37.3316,
10,0.2581,0.0034274,0.0034274,37.3381,
11,0.2724,0.001014,0.001014,37.3657,
12,0.2849,0.00079584,0.00079584,37.3694,
13,0.29507,0.00062859,0.00062859,37.3727,
14,0.30477,0.00049959,0.00049959,37.3755,
15,0.31308,0.00040071,0.00040071,37.3779,
16,0.32157,0.00032578,0.00032578,37.3799,
17,0.33294,9.7623e-05,9.7623e-05,37.3884,
18,0.34163,7.6689e-05,7.6689e-05,37.3896,
19,0.35039,6.0449e-05,6.0449e-05,37.3906,
20,0.35824,4.8013e-05,4.8013e-05,37.3915,
21,0.36649,3.8395e-05,3.8395e-05,37.3922,
22,0.37441,3.108e-05,3.108e-05,37.3929,
23,0.38245,2.562e-05,2.562e-05,37.3934,
24,0.39305,7.3868e-06,7.3868e-06,37.3958,
25,0.40145,5.8192e-06,5.8192e-06,37.3961,
26,0.40963,4.6049e-06,4.6049e-06,37.3964,
27,0.41822,3.6719e-06,3.6719e-06,37.3966,
28,0.42747,2.9606e-06,2.9606e-06,37.3969,
29,0.43583,2.4345e-06,2.4345e-06,37.397,
30,0.44509,7.968e-07,7.968e-07,37.3977,
31,0.45295,5.5317e-07,5.5317e-07,37.3979,
