"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,4.0503,4.0503,199.7835,18.4273,
1,0.24507,0.091683,0.091683,40.5818,3.8411,
2,0.49918,0.050159,0.050159,31.6311,2.1434,
3,0.81393,0.013288,0.013288,27.6536,1.1862,
4,1.087,0.0084971,0.0084971,26.0125,0.64418,
5,1.375,0.0069959,0.0069959,22.3765,0.74489,
6,1.6246,0.0064384,0.0064384,21.6429,0.59977,
7,1.7397,0.0087489,0.0087489,21.3725,0.82792,
8,1.7467,0.0071239,0.0071239,21.3737,0.82762,
9,1.7572,0.0021242,0.0021242,21.3788,0.8264,
10,1.7657,0.0016666,0.0016666,21.3795,0.82613,
11,1.7738,0.0013138,0.0013138,21.3801,0.8259,
12,1.7867,0.0010421,0.0010421,21.3806,0.8257,
13,1.7928,0.00084247,0.00084247,21.381,0.82557,
14,1.7992,0.00068247,0.00068247,21.3814,0.82546,
15,1.8091,0.00020456,0.00020456,21.3829,0.82509,
16,1.8146,0.0001636,0.0001636,21.3831,0.82503,
17,1.8201,0.00012968,0.00012968,21.3833,0.82499,
18,1.8262,0.00010278,0.00010278,21.3835,0.82494,
19,1.8318,8.1971e-05,8.1971e-05,21.3836,0.82491,
20,1.8373,6.6086e-05,6.6086e-05,21.3837,0.82487,
21,1.8457,5.4145e-05,5.4145e-05,21.3838,0.82484,
22,1.8583,1.6088e-05,1.6088e-05,21.3843,0.82475,
23,1.8651,1.2533e-05,1.2533e-05,21.3844,0.82473,
24,1.8707,9.9602e-06,9.9602e-06,21.3844,0.82472,
25,1.8757,7.9845e-06,7.9845e-06,21.3844,0.82471,
26,1.8807,6.4373e-06,6.4373e-06,21.3845,0.8247,
27,1.886,5.2591e-06,5.2591e-06,21.3845,0.82469,
28,1.8921,1.9648e-06,1.9648e-06,21.3846,0.82467,
29,1.8975,1.1133e-06,1.1133e-06,21.3847,0.82466,
30,1.9028,9.6758e-07,9.6758e-07,21.3847,0.82466,
