"iter","time","maxviolation","meanviolation","cost",
0,0,38.4598,38.4598,76.1265,
1,0.25116,0.089188,0.089188,23.473,
2,0.34976,0.085214,0.085214,20.1731,
3,0.38064,0.04506,0.04506,20.2367,
4,0.38803,0.031906,0.031906,20.2635,
5,0.39499,0.025174,0.025174,20.2794,
6,0.40249,0.021046,0.021046,20.2902,
7,0.43912,0.014494,0.014494,20.3096,
8,0.44605,0.011375,0.011375,20.3204,
9,0.4533,0.0094879,0.0094879,20.3277,
10,0.46051,0.0065831,0.0065831,20.3405,
11,0.46782,0.0051488,0.0051488,20.3479,
12,0.4752,0.004284,0.004284,20.3529,
13,0.48184,0.0029642,0.0029642,20.3616,
14,0.48855,0.0023152,0.0023152,20.3666,
15,0.49525,0.0019251,0.0019251,20.3699,
16,0.50296,0.0013304,0.0013304,20.3758,
17,0.51095,0.0010386,0.0010386,20.3791,
18,0.51875,0.00086335,0.00086335,20.3814,
19,0.52577,0.00059654,0.00059654,20.3853,
20,0.53267,0.00046562,0.00046562,20.3875,
21,0.5398,0.00038703,0.00038703,20.389,
22,0.54771,0.00026824,0.00026824,20.3916,
23,0.55441,0.0002673,0.0002673,20.3916,
24,0.56165,0.00018157,0.00018157,20.3938,
25,0.56962,0.00018034,0.00018034,20.3938,
26,0.57719,0.00010693,0.00010693,20.3962,
27,0.58384,0.00010707,0.00010707,20.3962,
28,0.59417,5.694e-05,5.694e-05,20.3984,
29,0.60586,5.6846e-05,5.6846e-05,20.3984,
30,0.61617,3.0019e-05,3.0019e-05,20.4,
31,0.62349,2.8492e-05,2.8492e-05,20.4001,
