"iter","time","maxviolation","meanviolation","cost",
0,0,96.6774,96.6774,47.5294,
1,0.14337,0.07593,0.07593,15.0008,
2,0.15941,0.06133,0.06133,15.0101,
3,0.18053,0.050399,0.050399,15.0177,
4,0.22868,0.014172,0.014172,15.0522,
5,0.23675,0.011226,0.011226,15.0565,
6,0.24459,0.0089293,0.0089293,15.0602,
7,0.2651,0.0070329,0.0070329,15.0636,
8,0.27256,0.0057179,0.0057179,15.0663,
9,0.28433,0.0046598,0.0046598,15.0686,
10,0.31497,0.0013512,0.0013512,15.0787,
11,0.32233,0.0010694,0.0010694,15.08,
12,0.32935,0.00085208,0.00085208,15.0812,
13,0.33648,0.00068331,0.00068331,15.0822,
14,0.34338,0.0005527,0.0005527,15.083,
15,0.35108,0.00045256,0.00045256,15.0837,
16,0.35799,0.00037781,0.00037781,15.0843,
17,0.36831,0.00010851,0.00010851,15.0872,
18,0.37557,8.5609e-05,8.5609e-05,15.0876,
19,0.38333,6.7741e-05,6.7741e-05,15.0879,
20,0.39055,5.4124e-05,5.4124e-05,15.0882,
21,0.39811,4.3765e-05,4.3765e-05,15.0884,
22,0.40438,3.6183e-05,3.6183e-05,15.0886,
23,0.41295,1.2408e-05,1.2408e-05,15.0894,
24,0.41984,8.522e-06,8.522e-06,15.0896,
25,0.42709,6.6884e-06,6.6884e-06,15.0897,
26,0.43402,5.3003e-06,5.3003e-06,15.0898,
27,0.44118,4.2877e-06,4.2877e-06,15.0899,
28,0.4483,3.5125e-06,3.5125e-06,15.0899,
29,0.45707,9.9328e-07,9.9328e-07,15.0902,
30,0.46414,8.5036e-07,8.5036e-07,15.0902,
