"iter","time","maxviolation","meanviolation","cost",
0,0,6.7345,6.7345,43.6239,
1,0.04129,0.79941,0.79941,22.0876,
2,0.072155,0.067876,0.067876,23.0968,
3,0.092151,0.055041,0.055041,23.1308,
4,0.12208,0.014983,0.014983,23.2708,
5,0.13034,0.011744,0.011744,23.2876,
6,0.15427,0.0091509,0.0091509,23.3026,
7,0.16271,0.0072631,0.0072631,23.3148,
8,0.1711,0.0058128,0.0058128,23.3254,
9,0.19609,0.0046434,0.0046434,23.3346,
10,0.20636,0.0014003,0.0014003,23.37,
11,0.2141,0.001098,0.001098,23.3749,
12,0.22219,0.00086448,0.00086448,23.3792,
13,0.22997,0.00068447,0.00068447,23.383,
14,0.23766,0.00054625,0.00054625,23.3862,
15,0.24537,0.00044092,0.00044092,23.3889,
16,0.25307,0.00036193,0.00036193,23.3911,
17,0.26356,0.00010545,0.00010545,23.4012,
18,0.27179,8.314e-05,8.314e-05,23.4025,
19,0.28035,6.5718e-05,6.5718e-05,23.4037,
20,0.2885,5.2314e-05,5.2314e-05,23.4047,
21,0.29691,4.2073e-05,4.2073e-05,23.4055,
22,0.30506,3.4348e-05,3.4348e-05,23.4062,
23,0.31991,1.0082e-05,1.0082e-05,23.4093,
24,0.32718,7.9905e-06,7.9905e-06,23.4097,
25,0.33403,6.3152e-06,6.3152e-06,23.4101,
26,0.34088,5.0187e-06,5.0187e-06,23.4104,
27,0.34785,4.0277e-06,4.0277e-06,23.4106,
28,0.35467,3.2776e-06,3.2776e-06,23.4109,
29,0.36336,1.3026e-06,1.3026e-06,23.4116,
30,0.37049,6.9133e-07,6.9133e-07,23.412,
