"iter","time","maxviolation","meanviolation","cost",
0,0,8.8262,8.8262,44.6725,
1,0.099332,2.24,2.24,28.8225,
2,0.20645,0.10349,0.10349,31.2043,
3,0.29746,0.009649,0.009649,31.6856,
4,0.30724,0.009649,0.009649,31.6856,
5,0.31708,0.009649,0.009649,31.6856,
6,0.32753,0.009649,0.009649,31.6856,
7,0.33743,0.009649,0.009649,31.6856,
8,0.34719,0.009649,0.009649,31.6856,
9,0.80282,0.0010212,0.0010212,31.8311,
10,0.81675,0.0010212,0.0010212,31.8311,
11,0.83011,0.0010212,0.0010212,31.8311,
12,0.84368,0.0010212,0.0010212,31.8311,
13,0.85692,0.0010212,0.0010212,31.8311,
14,0.87168,0.0010212,0.0010212,31.8311,
15,0.88731,0.0010212,0.0010212,31.8311,
16,0.90512,0.0010212,0.0010212,31.8311,
17,0.92361,0.0010212,0.0010212,31.8311,
18,0.94575,0.0010212,0.0010212,31.8311,
19,0.96681,0.0010212,0.0010212,31.8311,
20,0.98941,0.0010212,0.0010212,31.8311,
21,1.0134,0.0010212,0.0010212,31.8311,
22,1.0383,0.0010212,0.0010212,31.8311,
23,1.0631,0.0010212,0.0010212,31.8311,
24,1.0884,0.0010212,0.0010212,31.8311,
25,1.1125,0.0010212,0.0010212,31.8311,
26,1.1421,0.0010212,0.0010212,31.8311,
27,1.1698,0.0010212,0.0010212,31.8311,
28,1.2036,0.0010212,0.0010212,31.8311,
29,1.2339,0.0010212,0.0010212,31.8311,
30,1.2658,0.0010212,0.0010212,31.8311,
