"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,305.9449,9.3263e-05,NaN,NaN,NaN,NaN,NaN,44.9153,44.9153,
1,305.9449,0.35008,2.3799,0.00048828,0,1.3531,1,41.0022,41.0022,
2,298.6265,0.44333,0.55546,0.5,0,0.55439,1,33.913,33.913,
3,290.9072,0.58761,6.2521,0.00097656,0,1.9944,1,33.3619,33.3619,
4,282.9421,0.8084,8.3945,0.0039063,0,2.9899,1,11.2912,11.2912,
5,283.103,0.89421,0.04685,0.015625,0,0.046849,1,11.2136,11.2136,
6,277.7637,1.1207,2.4639,6.1035e-05,0,1.3779,1,7.7744,7.7744,
7,271.2096,1.5062,7.5843,0.0039063,0,2.3793,1,4.8733,4.8733,
8,270.4331,1.5915,0.19552,1,0,0.19547,1,1.5548,1.5548,
9,266.2765,2.0007,2.6677,0.0039063,0,1.6629,1,0.026298,0.026298,
10,265.0582,2.3134,0.56095,3.8147e-06,0,0.52899,1,0.00094386,0.00094386,
11,264.5751,2.5511,0.24923,0.00012207,0,0.24665,1,3.9431e-08,3.9431e-08,
12,256.9611,2.797,2.7905,4.6566e-10,1,1.4981,0,3.0396,3.0396,
13,256.8191,4.8266,0.17509,1,0,0.17506,1,1.3019,1.3019,
14,257.1083,7.4617,8.4021,0.0078125,0,2.0042,1,0.43542,0.43542,
15,257.0667,9.4896,0.073745,1,0,0.073743,-6,0.18783,0.18783,
16,255.743,12.5911,1.3931,0.00097656,0,1.0931,1,0.084484,0.084484,
17,255.7552,14.7115,0.024185,1,0,0.024185,1,0.023237,0.023237,
18,257.4165,16.8201,0.63211,1.4901e-08,0,0.59441,-6,0.00046869,0.00046869,
19,257.4136,18.8359,0.0020603,1,0,0.0020603,1,0.00016922,0.00016922,
20,257.2377,23.595,0.30859,4.6566e-10,1,0.30249,-6,0.0010968,0.0010968,
21,257.2436,25.6151,0.0037644,0.5,0,0.0037644,-6,0.00099598,0.00099598,
22,257.8799,33.6693,0.29671,5.9605e-08,0,0.29235,1,0.00013051,0.00013051,
23,257.8802,35.7464,0.00017415,0.015625,0,0.00017415,1,0.00012968,0.00012968,
