"iter","time","maxviolation","meanviolation","cost",
0,0,53.6825,53.6825,231.168,
1,0.25234,0.1989,0.1989,65.1928,
2,0.53524,0.040425,0.040425,48.2042,
3,0.81473,0.021257,0.021257,43.2425,
4,1.0722,0.02225,0.02225,41.9123,
5,1.3439,0.015023,0.015023,41.101,
6,1.615,0.010965,0.010965,40.7798,
7,1.8397,0.0069457,0.0069457,40.4564,
8,1.8469,0.005574,0.005574,40.4593,
9,1.8539,0.0045208,0.0045208,40.4618,
10,1.8613,0.003726,0.003726,40.4638,
11,1.8724,0.0010887,0.0010887,40.4732,
12,1.8815,0.0008489,0.0008489,40.4745,
13,1.89,0.00067046,0.00067046,40.4756,
14,1.8983,0.00053377,0.00053377,40.4765,
15,1.9062,0.00043271,0.00043271,40.4772,
16,1.9128,0.00035316,0.00035316,40.4779,
17,1.9231,0.0001051,0.0001051,40.4808,
18,1.93,8.215e-05,8.215e-05,40.4812,
19,1.9374,6.4796e-05,6.4796e-05,40.4815,
20,1.9443,5.152e-05,5.152e-05,40.4818,
21,1.9512,4.1421e-05,4.1421e-05,40.482,
22,1.9584,3.3795e-05,3.3795e-05,40.4822,
23,1.9696,9.7169e-06,9.7169e-06,40.4831,
24,1.9772,7.9448e-06,7.9448e-06,40.4832,
25,1.9852,6.2478e-06,6.2478e-06,40.4834,
26,1.9927,4.9565e-06,4.9565e-06,40.4834,
27,2.0005,3.9695e-06,3.9695e-06,40.4835,
28,2.0081,3.2207e-06,3.2207e-06,40.4836,
29,2.0161,3.4387e-07,3.4387e-07,40.484,
30,2.0241,7.1869e-07,7.1869e-07,40.4839,
