"iter","time","maxviolation","meanviolation","cost",
0,0,12.9615,12.9615,52.039,
1,0.029035,0.16248,0.16248,30.937,
2,0.056826,0.030083,0.030083,31.0759,
3,0.070598,0.022887,0.022887,31.0864,
4,0.086038,0.017521,0.017521,31.0949,
5,0.10155,0.013564,0.013564,31.1019,
6,0.11675,0.010562,0.010562,31.1078,
7,0.12949,0.0083332,0.0083332,31.1126,
8,0.14354,0.0066469,0.0066469,31.1166,
9,0.15935,0.0054035,0.0054035,31.1198,
10,0.19204,0.0015037,0.0015037,31.1335,
11,0.19974,0.001189,0.001189,31.1351,
12,0.20702,0.00093872,0.00093872,31.1366,
13,0.21481,0.00074524,0.00074524,31.1378,
14,0.22208,0.00059669,0.00059669,31.1389,
15,0.23004,0.00048386,0.00048386,31.1398,
16,0.24146,0.00014331,0.00014331,31.1436,
17,0.24853,0.00011397,0.00011397,31.1441,
18,0.25572,9.048e-05,9.048e-05,31.1445,
19,0.26273,7.1959e-05,7.1959e-05,31.1449,
20,0.27018,5.7573e-05,5.7573e-05,31.1453,
21,0.2771,4.6569e-05,4.6569e-05,31.1455,
22,0.28714,1.4446e-05,1.4446e-05,31.1467,
23,0.29438,1.1196e-05,1.1196e-05,31.1469,
24,0.30188,8.7634e-06,8.7634e-06,31.147,
25,0.30812,6.8175e-06,6.8175e-06,31.1471,
26,0.31455,5.4628e-06,5.4628e-06,31.1472,
27,0.32147,4.4612e-06,4.4612e-06,31.1473,
28,0.32792,3.6608e-06,3.6608e-06,31.1474,
29,0.33587,1.6314e-06,1.6314e-06,31.1476,
30,0.34275,7.5852e-07,7.5852e-07,31.1478,
