"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,1.7964,0.21514,325.4314,1174.8691,
1,0.51707,1.3524,0.23532,0.0053064,8.9051,
2,2.6688,1.1643,0.22472,0.20578,30.1437,
3,4.8015,1.3934,0.20999,7.4568,202.6465,
4,6.7221,0.90424,0.085485,895.9207,1437.6705,
5,8.74,1.0523,0.080536,1116.1988,1267.0778,
6,10.716,0.23965,0.016147,1381.1887,726.8888,
7,12.7509,0.10358,0.0083232,1423.0349,554.724,
8,14.8115,0.10066,0.0053652,1419.7527,570.571,
9,16.798,0.021567,0.0016895,1428.7545,526.691,
10,18.7584,0.019188,0.0013385,1429.0594,526.1614,
11,20.9205,0.004872,0.00070011,1430.1347,521.7319,
12,22.9043,0.0044228,0.00042143,1430.5821,521.3403,
13,24.9217,0.0011793,9.6857e-05,1431.1792,520.5041,
14,26.598,0.0010689,3.494e-05,1431.3013,520.4789,
15,27.5615,0.00028672,6.8615e-06,1431.3579,520.2942,
16,27.6307,0.00025851,6.2818e-06,1431.3591,520.2879,
17,27.8772,6.9265e-05,2.0739e-06,1431.3684,520.2427,
18,27.9276,6.6224e-05,1.9284e-06,1431.3687,520.2412,
19,27.9779,1.9534e-05,9.9586e-07,1431.3708,520.2302,
20,28.0209,1.9225e-05,9.6471e-07,1431.3708,520.2299,
21,28.0796,6.1329e-06,7.3384e-07,1431.3714,520.2272,
22,28.3645,6.7029e-06,3.4121e-07,1431.3724,520.2269,
23,28.4381,6.7029e-06,3.4121e-07,1431.3724,520.2269,
24,28.5016,6.7029e-06,3.4121e-07,1431.3724,520.2269,
25,28.562,6.7029e-06,3.4121e-07,1431.3724,520.2269,
26,28.632,6.7029e-06,3.4121e-07,1431.3724,520.2269,
27,28.6919,6.7029e-06,3.4121e-07,1431.3724,520.2269,
28,28.7676,6.7029e-06,3.4121e-07,1431.3724,520.2269,
29,28.8299,6.7029e-06,3.4121e-07,1431.3724,520.2269,
30,28.9005,6.7029e-06,3.4121e-07,1431.3724,520.2269,
