"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,1.279,0.26866,99.0325,164.7288,
1,3.3349,1.1845,0.28507,0.14464,7.9497,
2,5.8408,1.2367,0.26917,1.5271,27.4537,
3,8.3958,1.3173,0.19942,21.6719,105.6074,
4,11.5563,1.5927e-06,2.1306e-07,159.8781,84.0584,
5,11.6718,1.5927e-06,2.1306e-07,159.8781,84.0584,
6,11.8003,1.5927e-06,2.1306e-07,159.8781,84.0584,
7,11.9242,1.5927e-06,2.1306e-07,159.8781,84.0584,
8,12.0204,1.5927e-06,2.1306e-07,159.8781,84.0584,
9,12.1207,1.5927e-06,2.1306e-07,159.8781,84.0584,
10,12.2304,1.5927e-06,2.1306e-07,159.8781,84.0584,
11,12.3467,1.5927e-06,2.1306e-07,159.8781,84.0584,
12,12.4868,1.5927e-06,2.1306e-07,159.8781,84.0584,
13,12.6075,1.5927e-06,2.1306e-07,159.8781,84.0584,
14,12.7284,1.5927e-06,2.1306e-07,159.8781,84.0584,
15,12.8414,1.5927e-06,2.1306e-07,159.8781,84.0584,
16,13.0111,1.5927e-06,2.1306e-07,159.8781,84.0584,
17,13.1676,1.5927e-06,2.1306e-07,159.8781,84.0584,
18,13.2894,1.5927e-06,2.1306e-07,159.8781,84.0584,
19,13.4268,1.5927e-06,2.1306e-07,159.8781,84.0584,
20,13.5741,1.5927e-06,2.1306e-07,159.8781,84.0584,
21,13.6977,1.5927e-06,2.1306e-07,159.8781,84.0584,
22,13.8067,1.5927e-06,2.1306e-07,159.8781,84.0584,
23,13.9095,1.5927e-06,2.1306e-07,159.8781,84.0584,
24,14.0577,1.5927e-06,2.1306e-07,159.8781,84.0584,
25,14.1987,1.5927e-06,2.1306e-07,159.8781,84.0584,
26,14.308,1.5927e-06,2.1306e-07,159.8781,84.0584,
27,14.4517,1.5927e-06,2.1306e-07,159.8781,84.0584,
28,14.5724,1.5927e-06,2.1306e-07,159.8781,84.0584,
29,14.7412,1.5927e-06,2.1306e-07,159.8781,84.0584,
30,14.8805,1.5927e-06,2.1306e-07,159.8781,84.0584,
