"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,49.569,214.6019,5.8148e-05,NaN,NaN,NaN,NaN,1,199.7968,1.4838,0.25647,
1,104.0498,363101909546.8193,0.62736,1,0,1.4138,0,70683081702.7125,314.6824,1.4076,0.2093,
2,202.7959,49642459639.2703,1.0405,1,0,0.33955,1,70683081702.7125,360.3773,1.0554,0.17511,
3,323.6057,27855018935.2202,1.4193,1,0,0.51665,1,70683081702.7125,248.2259,0.58337,0.11029,
4,332.5112,1930595529.2929,1.7384,1,0,0.11006,-6,70683081702.7125,227.8929,0.47542,0.099801,
5,344.9694,2326466013.461,2.1008,1,0,0.81003,1,70683081702.7125,201.8183,0.34501,0.068797,
6,359.4969,46162832.1424,2.4282,1,0,0.115,-6,70683081702.7125,148.7396,0.34176,0.051696,
7,357.9962,219629012.83,2.8195,0.25,0,0.46168,1,70683081702.7125,158.6904,0.2368,0.045995,
8,352.9791,540331785.8142,3.1678,1,0,0.80417,1,70683081702.7125,182.3597,0.34347,0.03902,
9,365.0497,45652581.4049,3.4897,1,0,0.20423,-6,70683081702.7125,132.7224,0.1704,0.01499,
10,366.6764,97853596.9174,3.8424,1,0,0.36805,1,70683081702.7125,125.1344,0.066974,0.0068123,
11,366.4442,24327562.9451,4.1677,1,0,0.069449,1,70683081702.7125,126.7557,0.040055,0.003029,
12,366.4442,4032257.2471,4.4892,3.5527e-15,0,3.2817e-16,-2,2842441892658092,126.7557,0.040055,0.003029,
