"iter","cost",
0,101220.1136,
1,96407.6213,
2,90359.9808,
3,79017.038,
4,68907.0835,
5,63320.5528,
6,61396.3584,
7,55138.8868,
8,50349.8701,
9,45410.8996,
10,42210.5275,
11,36619.0467,
12,27393.6239,
13,23257.6245,
14,20240.2771,
15,15840.7691,
16,13625.0679,
17,12095.2766,
18,10489.8255,
19,8984.2664,
20,7356.8085,
21,6231.5782,
22,5658.7726,
23,5216.5113,
24,4798.8886,
25,4435.0118,
26,4031.8906,
27,3655.2844,
28,3449.4206,
29,3374.9919,
30,3177.0304,
31,3060.2763,
32,2928.0539,
33,2801.1111,
34,2773.212,
35,2662.6642,
36,2531.4191,
37,2410.4899,
38,2396.4656,
39,2354.6686,
40,2253.3934,
41,2245.3764,
42,2193.1264,
43,2192.3819,
44,2169.8775,
45,2153.7983,
46,2101.9278,
47,2071.2678,
48,2065.3381,
49,2057.3715,
50,2049.6659,
51,2043.0419,
52,2029.264,
53,2028.1035,
54,2018.0425,
55,2017.2455,
56,2013.4976,
57,2006.0133,
58,2004.837,
59,1993.5042,
60,1990.0081,
61,1987.2446,
62,1978.4543,
63,1978.224,
64,1974.8289,
65,1972.9391,
66,1971.0661,
67,1968.1508,
68,1957.4364,
69,1950.9417,
70,1929.9685,
71,1928.8894,
72,1903.9427,
73,1903.7104,
74,1889.9042,
75,1879.7769,
76,1879.6154,
77,1872.6383,
78,1872.4947,
79,1862.2645,
80,1862.2105,
81,1859.8208,
82,1852.534,
83,1834.4099,
84,1823.0463,
85,1822.9874,
86,1818.432,
87,1818.163,
88,1805.074,
89,1805.0059,
90,1804.1535,
91,1804.1481,
92,1800.9982,
93,1799.5201,
94,1799.5115,
95,1797.6802,
96,1797.6649,
97,1796.9845,
98,1796.9701,
99,1796.9583,
100,1794.2511,
101,1794.1926,
102,1792.3696,
103,1792.2109,
104,1791.216,
105,1790.7623,
106,1783.7169,
107,1783.6811,
108,1783.4279,
109,1756.7527,
110,1756.4904,
111,1756.4415,
112,1731.3996,
113,1731.2445,
114,1731.2096,
115,1716.6007,
116,1716.5573,
117,1716.5034,
118,1713.8911,
119,1713.8865,
120,1713.1502,
121,1713.1442,
122,1701.547,
123,1701.4902,
124,1696.4974,
125,1652.5093,
126,1652.2783,
127,1652.2766,
128,1652.2618,
129,1633.6124,
130,1633.5117,
131,1633.4725,
132,1602.0692,
133,1575.4647,
134,1575.3514,
135,1575.2868,
136,1571.3,
137,1571.2583,
138,1571.2569,
139,1571.2513,
140,1571.2497,
141,1571.245,
142,1571.2426,
143,1571.1525,
144,1570.6717,
145,1569.0526,
146,1567.5157,
147,1567.5143,
148,1567.5042,
149,1567.4982,
150,1567.4794,
151,1567.4777,
152,1567.4686,
153,1567.4589,
154,1567.4539,
155,1567.4512,
156,1567.4494,
157,1566.2287,
158,1566.2272,
159,1566.2257,
160,1566.2244,
161,1566.2234,
162,1566.2227,
163,1566.2223,
163,1566.2223,
