"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.81795,0.15097,0.10116,1.1515,
1,0.0084816,0,0,-0.29079,1.1012,
2,0.01652,0,0,-0.70549,0.83289,
3,0.026738,0,0,-0.82279,0.5298,
4,0.033922,0,0,-0.8445,0.44634,
5,0.039145,0,0,-0.84983,0.42446,
6,0.044256,0,0,-0.85155,0.41709,
7,0.049154,0,0,-0.85214,0.41452,
8,0.053071,0,0,-0.85234,0.41362,
9,0.056336,0,0,-0.85242,0.41328,
10,0.060003,0,0,-0.85244,0.41318,
11,0.062657,0,0,-0.85245,0.41314,
12,0.063732,0,0,-0.85245,0.41314,
13,0.0671,0,0,-0.85246,0.41312,
14,0.068275,0,0,-0.85246,0.41312,
15,0.072074,5.9053e-07,9.2836e-08,-0.85246,0.41312,
16,0.075267,3.187e-07,4.3661e-08,-0.85246,0.41312,
17,0.078625,0,0,-0.85246,0.41312,
18,0.08162,0,0,-0.85246,0.41312,
19,0.085796,1.2962e-07,2.6939e-08,-0.85246,0.41312,
20,0.089552,2.6595e-09,4.3025e-10,-0.85246,0.41312,
21,0.090634,2.6595e-09,4.3025e-10,-0.85246,0.41312,
22,0.091661,2.6595e-09,4.3025e-10,-0.85246,0.41312,
23,0.095999,0,0,-0.85246,0.41312,
24,0.096957,0,0,-0.85246,0.41312,
25,0.10197,3.0851e-10,4.9772e-11,-0.85246,0.41312,
26,0.10631,4.9577e-12,7.5113e-13,-0.85246,0.41312,
27,0.10958,1.0534e-08,1.6281e-09,-0.85246,0.41312,
28,0.11598,0,0,-0.85246,0.41312,
29,0.12146,1.8799e-13,1.8799e-14,-0.85246,0.41312,
30,0.12245,1.8799e-13,1.8799e-14,-0.85246,0.41312,
