"iter","time","maxviolation","meanviolation","cost",
0,0,0.23748,0.058167,-0.20394,
1,0.012219,0,0,-0.30008,
2,0.014559,0,0,-0.30008,
3,0.099923,0,0,-0.51934,
4,0.16873,0.0016223,3.2753e-05,-0.58155,
5,0.21174,0.00036859,6.0204e-06,-0.58384,
6,0.22048,5.2896e-05,1.1476e-06,-0.58398,
7,0.22751,9.0149e-06,2.2968e-07,-0.58399,
8,0.233,1.8382e-06,7.7073e-08,-0.58399,
9,0.23866,5.6513e-06,3.0961e-07,-0.58399,
10,0.24525,5.1213e-07,2.7927e-08,-0.58399,
11,0.25084,1.1391e-06,5.6408e-08,-0.58399,
12,0.25962,1.6074e-07,7.2296e-09,-0.58399,
13,0.26885,1.8006e-08,5.6321e-10,-0.58399,
14,0.28015,6.1049e-07,2.5301e-08,-0.58399,
15,0.29003,4.0704e-08,1.2648e-09,-0.58399,
16,0.30009,1.3279e-09,4.733e-11,-0.58399,
17,0.30841,5.5942e-08,2.3677e-09,-0.58399,
18,0.3202,7.5937e-09,7.0618e-10,-0.58399,
19,0.33052,2.7068e-11,1.9709e-12,-0.58399,
20,0.33637,4.0873e-08,2.8586e-09,-0.58399,
21,0.34651,6.7216e-09,5.2186e-10,-0.58399,
22,0.35656,4.0364e-12,2.3905e-13,-0.58399,
23,0.36231,7.8152e-09,4.3331e-10,-0.58399,
24,0.37659,2.3619e-09,1.9359e-10,-0.58399,
25,0.39341,3.1333e-13,2.5511e-14,-0.58399,
26,0.40271,7.9709e-10,5.8418e-11,-0.58399,
27,0.41767,1.8409e-10,1.1393e-11,-0.58399,
28,0.43046,1.534e-14,6.6607e-16,-0.58399,
29,0.43887,7.8103e-10,3.4604e-11,-0.58399,
30,0.45085,1.5846e-10,1.3888e-11,-0.58399,
