"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.12983,0.017733,0.037749,0.97416,
1,1.3384,0.0085976,0.0011448,-0.5248,0.47348,
2,1.6526,0.0059043,0.00079268,-0.51789,0.47966,
3,1.9642,0.0040352,0.00054578,-0.51299,0.48393,
4,2.2469,0.0027581,0.00037473,-0.50958,0.48721,
5,2.6791,0.0018825,0.00025656,-0.50721,0.48929,
6,2.7346,0.0012906,0.00017598,-0.50558,0.49256,
7,2.8524,0.0008797,0.00012007,-0.50445,0.49319,
8,2.9107,0.00060091,8.2051e-05,-0.50368,0.49475,
9,3.2344,0.00040591,5.5784e-05,-0.50315,0.49324,
10,3.2979,0.00027687,3.8072e-05,-0.50279,0.49396,
11,3.3569,0.00018885,2.5961e-05,-0.50255,0.49445,
12,3.4159,0.00012874,1.7697e-05,-0.50238,0.49479,
13,3.4762,8.7745e-05,1.2062e-05,-0.50227,0.49501,
14,3.5288,5.9798e-05,8.2205e-06,-0.50219,0.49516,
15,3.5829,4.0748e-05,5.6018e-06,-0.50214,0.49527,
16,3.6373,2.7765e-05,3.817e-06,-0.5021,0.49535,
17,3.6847,1.8918e-05,2.6008e-06,-0.50208,0.4954,
18,3.7321,1.2889e-05,1.772e-06,-0.50206,0.49543,
19,3.7812,8.7817e-06,1.2073e-06,-0.50205,0.49545,
20,3.8318,5.983e-06,8.2255e-07,-0.50204,0.49547,
21,3.8816,4.0763e-06,5.6041e-07,-0.50203,0.49548,
22,3.9325,2.7772e-06,3.8181e-07,-0.50203,0.49549,
23,3.9835,1.8921e-06,2.6013e-07,-0.50203,0.49549,
24,4.0376,1.2891e-06,1.7722e-07,-0.50203,0.4955,
25,4.0906,8.7824e-07,1.2074e-07,-0.50202,0.4955,
26,4.1462,5.9834e-07,8.226e-08,-0.50202,0.4955,
27,4.2111,4.0764e-07,5.6044e-08,-0.50202,0.4955,
28,4.2677,2.7773e-07,3.8182e-08,-0.50202,0.4955,
29,4.3243,1.8921e-07,2.6013e-08,-0.50202,0.4955,
30,4.3833,1.2891e-07,1.7723e-08,-0.50202,0.4955,
