"iter","time","maxviolation","meanviolation","cost",
0,0,0.3302,0.056413,-0.14714,
1,0.051424,0.024341,0.0028009,-0.7041,
2,0.071216,0.01704,0.0019745,-0.69841,
3,0.087812,0.011833,0.0013773,-0.69418,
4,0.11178,0.0081602,0.00095365,-0.69111,
5,0.13079,0.0056155,0.00065743,-0.68894,
6,0.13941,0.0038496,0.00045141,-0.68742,
7,0.16121,0.002628,0.00030893,-0.68636,
8,0.17062,0.0017982,0.00021128,-0.68563,
9,0.18948,0.0012253,0.00014406,-0.68512,
10,0.19956,0.00083743,9.8486e-05,-0.68478,
11,0.21412,0.00057111,6.7181e-05,-0.68454,
12,0.22436,0.00038944,4.5817e-05,-0.68438,
13,0.234,0.00026547,3.1236e-05,-0.68427,
14,0.24316,0.00018093,2.129e-05,-0.68419,
15,0.25265,0.0001233,1.4509e-05,-0.68414,
16,0.26192,8.4016e-05,9.887e-06,-0.68411,
17,0.27071,5.7246e-05,6.7368e-06,-0.68408,
18,0.2792,3.9004e-05,4.5902e-06,-0.68407,
19,0.29075,2.6575e-05,3.1275e-06,-0.68406,
20,0.3014,1.8106e-05,2.1308e-06,-0.68405,
21,0.31133,1.2336e-05,1.4517e-06,-0.68404,
22,0.32258,8.4043e-06,9.8908e-07,-0.68404,
23,0.33455,5.7259e-06,6.7386e-07,-0.68404,
24,0.34632,3.901e-06,4.591e-07,-0.68404,
25,0.35705,2.6577e-06,3.1278e-07,-0.68404,
26,0.37187,1.8107e-06,2.131e-07,-0.68404,
27,0.3933,1.2336e-06,1.4518e-07,-0.68403,
28,0.4083,8.4046e-07,9.8912e-08,-0.68403,
29,0.42462,5.726e-07,6.7388e-08,-0.68403,
30,0.43777,3.9011e-07,4.5911e-08,-0.68403,
