"iter","time","maxviolation","meanviolation","cost",
0,0,0.25752,0.033215,-0.020698,
1,0.017786,0,0,-0.62314,
2,0.029563,0,0,-0.63435,
3,0.044565,0,0,-0.66075,
4,0.070289,0,0,-0.70637,
5,0.1053,0,0,-0.75209,
6,0.1518,0,0,-0.78164,
7,0.22524,0,0,-0.79853,
8,0.30666,0,0,-0.80819,
9,0.38065,0,0,-0.81392,
10,0.44496,0,0,-0.81746,
11,0.51062,0,0,-0.81968,
12,0.56857,0,0,-0.82109,
13,0.63046,0,0,-0.822,
14,0.66731,0,0,-0.8226,
15,0.70169,0,0,-0.82299,
16,0.77358,0,0,-0.82326,
17,0.80853,0,0,-0.82344,
18,0.82722,0,0,-0.82354,
19,0.84675,0,0,-0.82362,
20,0.86633,0,0,-0.82367,
21,0.88388,0,0,-0.8237,
22,0.90114,0,0,-0.82372,
23,0.91642,0,0,-0.82374,
24,0.93285,0,0,-0.82375,
25,0.9497,0,0,-0.82375,
26,0.96736,0,0,-0.82376,
27,0.98414,0,0,-0.82376,
28,1.0017,0,0,-0.82377,
29,1.019,0,0,-0.82377,
30,1.0373,0,0,-0.82377,
