"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.1494,0.038572,0.031187,0.80981,
1,0.025717,0,0,-0.25399,0.8607,
2,0.04115,0,0,-0.33229,0.83389,
3,0.057454,0,0,-0.39281,0.79255,
4,0.077889,0,0,-0.43346,0.75404,
5,0.10445,0,0,-0.45906,0.72295,
6,0.13457,0,0,-0.47503,0.69934,
7,0.17003,0,0,-0.48526,0.68162,
8,0.20427,0,0,-0.49203,0.66928,
9,0.23505,0,0,-0.49661,0.66172,
10,0.27381,0,0,-0.49974,0.65723,
11,0.28557,0,0,-0.50187,0.65425,
12,0.2968,0,0,-0.50332,0.65225,
13,0.30751,0,0,-0.50432,0.6509,
14,0.31874,0,0,-0.505,0.64998,
15,0.33172,0,0,-0.50546,0.64936,
16,0.33959,0,0,-0.50577,0.6489,
17,0.34755,0,0,-0.50598,0.64859,
18,0.35561,0,0,-0.50613,0.64839,
19,0.36411,0,0,-0.50622,0.64825,
20,0.37259,0,0,-0.50629,0.64815,
21,0.37992,0,0,-0.50634,0.64808,
22,0.38693,0,0,-0.50637,0.64804,
23,0.39311,0,0,-0.50638,0.64801,
24,0.39927,0,0,-0.5064,0.64799,
25,0.40588,0,0,-0.50641,0.64797,
26,0.41282,0,0,-0.50642,0.64796,
27,0.42052,0,0,-0.50642,0.64795,
28,0.42878,0,0,-0.50643,0.64795,
29,0.43626,0,0,-0.50643,0.64794,
30,0.44419,0,0,-0.50643,0.64794,
