"iter","time","maxviolation","meanviolation","cost","violation_sum",
0,0,0.56916,0.19742,-0.3724,1.1133,
1,0.26192,5.7869e-06,5.7869e-07,-0.83426,0.1877,
2,0.29331,5.7869e-06,5.7869e-07,-0.83426,0.1877,
3,0.3236,5.7869e-06,5.7869e-07,-0.83426,0.1877,
4,0.35558,5.7869e-06,5.7869e-07,-0.83426,0.1877,
5,0.38808,5.7869e-06,5.7869e-07,-0.83426,0.1877,
6,0.41751,5.7869e-06,5.7869e-07,-0.83426,0.1877,
7,0.44619,5.7869e-06,5.7869e-07,-0.83426,0.1877,
8,0.47465,5.7869e-06,5.7869e-07,-0.83426,0.1877,
9,0.50299,5.7869e-06,5.7869e-07,-0.83426,0.1877,
10,0.53348,5.7869e-06,5.7869e-07,-0.83426,0.1877,
11,0.56771,5.7869e-06,5.7869e-07,-0.83426,0.1877,
12,0.60728,5.7869e-06,5.7869e-07,-0.83426,0.1877,
13,0.64063,5.7869e-06,5.7869e-07,-0.83426,0.1877,
14,0.68175,5.7869e-06,5.7869e-07,-0.83426,0.1877,
15,0.71451,5.7869e-06,5.7869e-07,-0.83426,0.1877,
16,0.76344,5.7869e-06,5.7869e-07,-0.83426,0.1877,
17,0.80403,5.7869e-06,5.7869e-07,-0.83426,0.1877,
18,0.84179,5.7869e-06,5.7869e-07,-0.83426,0.1877,
19,0.90837,5.7869e-06,5.7869e-07,-0.83426,0.1877,
20,0.95994,5.7869e-06,5.7869e-07,-0.83426,0.1877,
21,1.0187,5.7869e-06,5.7869e-07,-0.83426,0.1877,
22,1.074,5.7869e-06,5.7869e-07,-0.83426,0.1877,
23,1.1241,5.7869e-06,5.7869e-07,-0.83426,0.1877,
24,1.1607,5.7869e-06,5.7869e-07,-0.83426,0.1877,
25,1.2063,5.7869e-06,5.7869e-07,-0.83426,0.1877,
26,1.2475,5.7869e-06,5.7869e-07,-0.83426,0.1877,
27,1.285,5.7869e-06,5.7869e-07,-0.83426,0.1877,
28,1.3317,5.7869e-06,5.7869e-07,-0.83426,0.1877,
29,1.3727,5.7869e-06,5.7869e-07,-0.83426,0.1877,
30,1.4097,5.7869e-06,5.7869e-07,-0.83426,0.1877,
