"iter","time","maxviolation","meanviolation","cost",
0,0,0.77281,0.077281,0.2979,
1,0.62403,1.8431e-06,1.8431e-07,-0.70361,
2,0.65966,1.8431e-06,1.8431e-07,-0.70361,
3,0.69566,1.8431e-06,1.8431e-07,-0.70361,
4,0.73234,1.8431e-06,1.8431e-07,-0.70361,
5,0.76926,1.8431e-06,1.8431e-07,-0.70361,
6,0.80308,1.8431e-06,1.8431e-07,-0.70361,
7,0.8385,1.8431e-06,1.8431e-07,-0.70361,
8,0.87605,1.8431e-06,1.8431e-07,-0.70361,
9,0.93823,1.8431e-06,1.8431e-07,-0.70361,
10,0.98471,1.8431e-06,1.8431e-07,-0.70361,
11,1.0261,1.8431e-06,1.8431e-07,-0.70361,
12,1.0678,1.8431e-06,1.8431e-07,-0.70361,
13,1.1067,1.8431e-06,1.8431e-07,-0.70361,
14,1.1473,1.8431e-06,1.8431e-07,-0.70361,
15,1.1824,1.8431e-06,1.8431e-07,-0.70361,
16,1.2155,1.8431e-06,1.8431e-07,-0.70361,
17,1.251,1.8431e-06,1.8431e-07,-0.70361,
18,1.2846,1.8431e-06,1.8431e-07,-0.70361,
19,1.3182,1.8431e-06,1.8431e-07,-0.70361,
20,1.3519,1.8431e-06,1.8431e-07,-0.70361,
21,1.3862,1.8431e-06,1.8431e-07,-0.70361,
22,1.4223,1.8431e-06,1.8431e-07,-0.70361,
23,1.4564,1.8431e-06,1.8431e-07,-0.70361,
24,1.4906,1.8431e-06,1.8431e-07,-0.70361,
25,1.5245,1.8431e-06,1.8431e-07,-0.70361,
26,1.5646,1.8431e-06,1.8431e-07,-0.70361,
27,1.5981,1.8431e-06,1.8431e-07,-0.70361,
28,1.6309,1.8431e-06,1.8431e-07,-0.70361,
29,1.6643,1.8431e-06,1.8431e-07,-0.70361,
30,1.6971,1.8431e-06,1.8431e-07,-0.70361,
