"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,0.040951,8.4497,5.0974e-05,NaN,NaN,NaN,NaN,1,1.1495,0.24942,0.059136,
1,-0.2924,2.6534,0.16758,1,0,1.044,1,1.0825,0.65531,0,0,
2,-0.526,0.25716,0.33192,1,0,0.63517,1,1.0825,0.4111,0,0,
3,-0.58258,0.091988,0.54368,1,0,0.39363,1,1.0825,0.34663,0,0,
4,-0.59783,0.044264,0.73118,1,0,0.24604,1,1.0825,0.33661,0,0,
5,-0.60218,0.021212,0.89631,1,0,0.13519,1,1.0825,0.33467,0,0,
6,-0.6033,0.010901,1.0648,1,0,0.073424,1,1.0825,0.33436,0,0,
7,-0.6037,0.0067085,1.2819,1,0,0.046219,1,1.0825,0.33295,0,0,
8,-0.60386,0.0042809,1.4597,1,0,0.029853,1,1.0825,0.332,0,0,
9,-0.60393,0.0027689,1.6368,1,0,0.01944,1,1.0825,0.33138,0,0,
10,-0.60396,0.0018328,1.8074,1,0,0.012918,1,1.0825,0.33093,0,0,
11,-0.60397,0.00099068,1.9809,1,0,0.0069986,1,1.0825,0.33078,0,0,
12,-0.60398,0.00041769,2.1498,1,0,0.0029542,1,1.0825,0.33082,0,0,
13,-0.60398,0.00018901,2.3249,1,0,0.0013375,1,1.0825,0.33084,0,0,
14,-0.60398,8.5341e-05,2.4963,1,0,0.00060405,1,1.0825,0.33085,0,0,
