"iter","cost","time","qpsolnorm","stepsize","lsmaxiterbreak","dist","qpexitflag","maxviolation","meanviolation",
0,0.012198,3.8136e-05,NaN,NaN,NaN,NaN,NaN,0.24014,0.040725,
1,0.012198,0.45162,1.3071,0.125,0,0.91773,1,0.10284,0.0051678,
2,-0.18303,0.80909,0.49007,0.25,0,0.45567,1,0.028701,0.0013108,
3,-0.34666,1.1883,0.9667,1,0,0.76847,1,0,0,
4,-0.37954,1.5391,0.27213,1,0,0.2657,1,0,0,
5,-0.4174,1.8801,0.18612,1,0,0.18401,1,0,0,
6,-0.42547,2.2595,0.15892,1,0,0.15761,1,0,0,
7,-0.43507,2.6311,0.11325,1,0,0.11277,1,1.5818e-11,1.1415e-12,
8,-0.43532,2.9714,0.021687,0.25,0,0.021684,1,1.1378e-11,5.0974e-13,
9,-0.43919,3.293,0.081491,1,0,0.081311,1,8.5171e-12,7.4081e-13,
10,-0.43914,3.6734,0.0089994,0.125,0,0.0089991,1,6.9446e-12,4.4204e-13,
11,-0.44159,4.0019,0.064671,1,0,0.064581,1,0,0,
12,-0.44151,4.3359,0.0034972,0.0625,0,0.0034972,1,0,0,
13,-0.44289,4.6882,0.04927,1,0,0.049231,1,0,0,
14,-0.44281,5.0491,0.002616,0.0625,0,0.002616,1,0,0,
15,-0.44365,5.4134,0.036562,1,0,0.036546,1,0,0,
16,-0.44358,5.7844,0.0028603,0.125,0,0.0028603,1,0,0,
17,-0.44392,6.091,0.020602,1,0,0.020599,1,1.5008e-12,7.9296e-14,
18,-0.44386,6.4341,0.0038347,0.25,0,0.0038346,1,0,0,
19,-0.44406,6.7951,0.013859,1,0,0.013858,1,0,0,
20,-0.44401,7.1311,0.0052619,0.5,0,0.0052618,1,0,0,
21,-0.44413,7.4713,0.009137,1,0,0.0091368,1,0,0,
22,-0.4441,7.8113,0.0070917,1,0,0.0070916,1,0,0,
23,-0.44417,8.1346,0.005506,1,0,0.005506,1,0,0,
24,-0.44416,8.5167,0.0043525,1,0,0.0043525,1,0,0,
25,-0.44419,8.8359,0.0034423,1,0,0.0034423,1,4.4522e-12,3.3433e-13,
26,-0.44418,9.1917,0.0027562,1,0,0.0027562,1,0,0,
27,-0.44419,9.5598,0.002191,1,0,0.002191,1,4.8746e-12,3.1866e-13,
28,-0.44418,9.8831,0.0018173,1,0,0.0018173,1,0,0,
29,-0.44419,10.2632,0.0014036,1,0,0.0014036,1,4.3633e-12,2.5857e-13,
30,-0.44419,10.6347,0.0011825,1,0,0.0011825,1,0,0,
31,-0.4442,10.9985,0.00090054,1,0,0.00090054,1,1.2942e-11,5.9554e-13,
32,-0.44419,11.3882,0.00075195,1,0,0.00075195,1,0,0,
33,-0.4442,11.7853,0.00057354,1,0,0.00057354,1,2.7252e-11,2.0462e-12,
34,-0.44419,12.1096,0.00048284,1,0,0.00048284,1,0,0,
35,-0.4442,12.4688,0.00036651,1,0,0.00036651,1,3.7688e-12,2.7596e-13,
36,-0.44419,12.821,0.00031058,1,0,0.00031058,1,0,0,
37,-0.4442,13.1489,0.00023434,1,0,0.00023434,1,1.4768e-11,7.6039e-13,
38,-0.44419,13.4895,0.00020039,1,0,0.00020039,1,0,0,
39,-0.4442,13.8546,0.00015008,1,0,0.00015008,1,5.8324e-12,2.9636e-13,
40,-0.44419,14.1811,0.00012991,1,0,0.00012991,1,0,0,
41,-0.4442,14.5277,9.6471e-05,1,0,9.6471e-05,1,1.2478e-11,5.5388e-13,
