"iter","cost",
0,-0.021698,
1,-0.34293,
2,-0.51787,
3,-0.5049,
4,-0.50278,
5,-0.50838,
6,-0.50499,
7,-0.50408,
8,-0.50192,
9,-0.50204,
10,-0.50233,
11,-0.50279,
12,-0.50303,
13,-0.50481,
14,-0.50774,
15,-0.50722,
16,-0.50835,
17,-0.50772,
18,-0.50817,
19,-0.50997,
20,-0.51034,
21,-0.51225,
22,-0.51259,
23,-0.51587,
24,-0.51435,
25,-0.51456,
26,-0.51429,
27,-0.51412,
28,-0.51413,
29,-0.51384,
30,-0.51379,
31,-0.51377,
32,-0.51378,
33,-0.51378,
34,-0.51377,
35,-0.51376,
36,-0.51376,
37,-0.51376,
38,-0.51376,
39,-0.51376,
40,-0.51376,
41,-0.51376,
42,-0.51376,
43,-0.51376,
43,-0.51376,
