"iter","cost",
0,0.72206,
1,-4.2981,
2,-2.2914,
3,-0.53441,
4,-0.48012,
5,-0.13448,
6,-0.084117,
7,-0.060305,
8,-0.040492,
9,-0.045691,
10,-0.076994,
11,-0.1877,
12,-0.45545,
13,-0.49859,
14,-0.531,
15,-0.55916,
16,-0.55851,
17,-0.54977,
18,-0.55408,
19,-0.55023,
20,-0.54975,
21,-0.54977,
22,-0.54986,
23,-0.54988,
24,-0.54982,
25,-0.54979,
26,-0.54976,
27,-0.54976,
28,-0.54976,
29,-0.54977,
30,-0.54978,
31,-0.55821,
32,-0.55803,
33,-0.55798,
34,-0.55797,
35,-0.55796,
36,-0.55796,
37,-0.55796,
38,-0.55796,
38,-0.55796,
