"iter","time","maxviolation","meanviolation","cost",
0,0,0.43866,0.10808,-0.043055,
1,0.035171,0.01755,0.0015035,-0.7967,
2,0.048784,0.012473,0.001061,-0.79531,
3,0.064303,0.0087659,0.000742,-0.79427,
4,0.071291,0.0061076,0.00051628,-0.7935,
5,0.085858,0.0042254,0.00035601,-0.79295,
6,0.093272,0.0029079,0.00024487,-0.79256,
7,0.10675,0.0019698,0.00016547,-0.79228,
8,0.11424,0.0013636,0.00011451,-0.7921,
9,0.12178,0.00093268,7.8301e-05,-0.79197,
10,0.12842,0.00063724,5.3491e-05,-0.79188,
11,0.13619,0.00043488,3.6501e-05,-0.79182,
12,0.14279,0.00029667,2.4899e-05,-0.79178,
13,0.15031,0.00020228,1.6976e-05,-0.79175,
14,0.15728,0.00013789,1.1572e-05,-0.79173,
15,0.16345,9.3983e-05,7.887e-06,-0.79172,
16,0.16953,6.4047e-05,5.3747e-06,-0.79171,
17,0.1759,4.3642e-05,3.6624e-06,-0.7917,
18,0.18199,2.9737e-05,2.4955e-06,-0.7917,
19,0.18872,2.0261e-05,1.7003e-06,-0.7917,
20,0.19557,1.3805e-05,1.1584e-06,-0.79169,
21,0.20218,9.4053e-06,7.8927e-07,-0.79169,
22,0.20946,6.4079e-06,5.3773e-07,-0.79169,
23,0.21673,4.3658e-06,3.6636e-07,-0.79169,
24,0.22418,2.9744e-06,2.496e-07,-0.79169,
25,0.23261,2.0264e-06,1.7005e-07,-0.79169,
26,0.24028,1.3806e-06,1.1586e-07,-0.79169,
27,0.24741,9.406e-07,7.8932e-08,-0.79169,
28,0.25516,6.4083e-07,5.3776e-08,-0.79169,
29,0.26325,4.3659e-07,3.6637e-08,-0.79169,
30,0.27144,2.9745e-07,2.4961e-08,-0.79169,
