"iter","time","maxviolation","meanviolation","cost",
0,0,0.47783,0.096156,0.19302,
1,0.032896,0,0,-0.53671,
2,0.050025,0,0,-0.56562,
3,0.07205,0,0,-0.58103,
4,0.097722,0,0,-0.58857,
5,0.12934,0,0,-0.59233,
6,0.15264,0,0,-0.59443,
7,0.17972,0,0,-0.59578,
8,0.20096,0,0,-0.59669,
9,0.22867,0,0,-0.59732,
10,0.25502,0,0,-0.59775,
11,0.27061,0,0,-0.59805,
12,0.30627,0,0,-0.59825,
13,0.3124,0,0,-0.59836,
14,0.31896,0,0,-0.59845,
15,0.32551,0,0,-0.59851,
16,0.33182,0,0,-0.59855,
17,0.33933,0,0,-0.59857,
18,0.34597,0,0,-0.59859,
19,0.3523,3.6205e-07,3.6205e-08,-0.5986,
20,0.3581,7.4736e-07,7.4736e-08,-0.59861,
21,0.36339,9.7767e-06,9.7767e-07,-0.59862,
22,0.3692,5.9469e-07,5.9469e-08,-0.59862,
23,0.37471,7.5604e-06,7.5604e-07,-0.59863,
24,0.38057,1.2478e-07,1.2478e-08,-0.59862,
25,0.3864,2.865e-06,2.865e-07,-0.59863,
26,0.39262,1.7151e-07,1.7151e-08,-0.59863,
27,0.39856,2.0117e-06,2.0117e-07,-0.59863,
28,0.40508,1.2821e-08,1.2821e-09,-0.59863,
29,0.41159,1.0593e-07,1.0593e-08,-0.59863,
30,0.41775,4.9513e-07,4.9513e-08,-0.59863,
