"iter","time","maxviolation","meanviolation","cost",
0,0,0.30734,0.078316,-0.11452,
1,0.60286,4.889e-05,8.142e-06,-0.33961,
2,0.63364,4.889e-05,8.142e-06,-0.33961,
3,0.66218,4.889e-05,8.142e-06,-0.33961,
4,0.69204,4.889e-05,8.142e-06,-0.33961,
5,0.72315,4.889e-05,8.142e-06,-0.33961,
6,0.75679,4.889e-05,8.142e-06,-0.33961,
7,0.78858,4.889e-05,8.142e-06,-0.33961,
8,0.825,4.889e-05,8.142e-06,-0.33961,
9,0.85634,4.889e-05,8.142e-06,-0.33961,
10,0.88835,4.889e-05,8.142e-06,-0.33961,
11,0.92131,4.889e-05,8.142e-06,-0.33961,
12,0.95564,4.889e-05,8.142e-06,-0.33961,
13,0.98741,4.889e-05,8.142e-06,-0.33961,
14,1.0173,4.889e-05,8.142e-06,-0.33961,
15,1.0473,4.889e-05,8.142e-06,-0.33961,
16,1.0764,4.889e-05,8.142e-06,-0.33961,
17,1.1105,4.889e-05,8.142e-06,-0.33961,
18,1.1392,4.889e-05,8.142e-06,-0.33961,
19,1.1675,4.889e-05,8.142e-06,-0.33961,
20,1.1979,4.889e-05,8.142e-06,-0.33961,
21,1.2279,4.889e-05,8.142e-06,-0.33961,
22,1.3619,1.0852e-05,1.4862e-06,-0.33957,
23,1.407,1.0852e-05,1.6112e-06,-0.33959,
24,1.4406,1.0852e-05,1.6112e-06,-0.33959,
25,1.475,1.0852e-05,1.6112e-06,-0.33959,
26,1.8023,6.2805e-08,6.2805e-09,-0.56357,
27,2.0036,1.255e-06,1.255e-07,-0.56375,
28,2.0385,1.255e-06,1.255e-07,-0.56375,
29,2.0755,1.255e-06,1.255e-07,-0.56375,
30,2.1104,1.255e-06,1.255e-07,-0.56375,
