"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","maxviolation","meanviolation",
0,-0.038476,3.4277,6.3056e-05,NaN,NaN,NaN,NaN,0.49699,0.12288,
1,-0.56219,0.43187,0.02907,1,0,0.88039,1,0,0,
2,-0.58102,0.15769,0.061631,0.5,0,0.10216,1,0,0,
3,-0.58821,0.095021,0.091905,0.5,0,0.063968,1,0,0,
4,-0.59099,0.057809,0.12486,0.5,0,0.040332,1,0,0,
5,-0.59207,0.035518,0.15699,0.5,0,0.025558,1,0,0,
6,-0.5925,0.022018,0.19124,0.5,0,0.016258,1,0,0,
7,-0.59276,0.005274,0.22933,1,0,0.020749,1,0,0,
8,-0.59278,0.0014905,0.25758,1,0,0.0058612,1,8.6897e-13,2.0461e-13,
9,-0.59278,0.00043683,0.29075,1,0,0.0017176,1,0,0,
10,-0.59278,0.00013143,0.32876,1,0,0.00051682,1,7.1816e-14,7.1816e-15,
11,-0.59278,4.0469e-05,0.36272,1,0,0.00015914,1,0,0,
