"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,0,0,2.1991,1,5.4652,5.4652,
1,1.4955,21.9747,3.3333,0,0,3.783,0.87951,1.0208,0.0046209,
2,2.6786,21.9747,3.3333,0,0,1.2351,0.7683,0.063191,0.0051768,
3,3.6428,12.8981,3.3333,0,0,1.139,0.74414,0.022931,0.0019868,
4,4.8736,1.9095,11.1111,0.00014047,4.6493e-06,1.1126,0.73732,0.01294,0.0038477,
5,6.0722,3.24,11.1111,0.0029446,7.1556e-05,1.0997,0.73554,0.012552,0.011157,
6,7.4114,4.6467,11.1111,0.00075081,3.086e-05,1.0904,0.73956,0.012688,0.012239,
7,8.7714,7.1301,37.037,0.00014304,5.6626e-06,1.0884,0.73779,0.0028529,0.0017818,
8,10.1129,2.2088,37.037,0.0001599,4.5632e-06,1.0874,0.73654,0.0043162,0.0041926,
9,11.4575,1.2477,37.037,9.555e-05,3.3661e-06,1.0863,0.73732,0.0039914,0.003936,
10,12.7972,2.3411,123.4568,3.7488e-05,1.4561e-06,1.0853,0.73665,0.0025733,0.0025391,
11,14.1562,1.4065,123.4568,6.1956e-05,1.7432e-06,1.0847,0.7443,0.011239,0.011238,
12,15.4948,1.2874,123.4568,2.1818e-05,4.3636e-07,1.0842,0.73466,0.011467,0.011466,
13,16.7837,1.0338,411.5226,7.2155e-05,3.9891e-06,1.0834,0.74006,0.0090744,0.0090738,
14,18.1202,1.6378,411.5226,3.4094e-05,2.4149e-06,1.0829,0.74648,0.021555,0.021555,
15,19.455,0.59091,411.5226,1.3396e-05,4.1295e-07,1.0829,0.73639,0.0052017,0.0052016,
16,20.7945,0.17564,1371.7421,5.446e-05,2.3397e-06,1.0825,0.74566,0.025914,0.025913,
17,22.1674,0.90522,1371.7421,2.0212e-05,5.5834e-07,1.0823,0.74525,0.020216,0.020216,
18,23.5492,0.21574,1371.7421,8.3463e-06,2.0224e-07,1.082,0.72855,0.022176,0.022176,
19,24.9257,0.64804,4572.4737,1.1067e-05,5.0231e-07,1.0817,0.73197,0.051907,0.051907,
20,26.3621,0.69887,4572.4737,1.9813e-05,5.6093e-07,1.0814,0.73752,0.10433,0.10433,
21,27.7925,0.61859,4572.4737,1.4521e-05,7.1978e-07,1.0813,0.75325,0.096215,0.096215,
22,29.1854,0.070651,15241.579,1.2087e-05,3.048e-07,1.0812,0.73125,0.060036,0.060036,
23,30.6835,0.37237,15241.579,7.388e-07,4.1584e-08,1.0812,0.73295,0.0063332,0.0063332,
24,32.0584,0.025997,15241.579,0,0,1.0811,0.72292,0.038736,0.038736,
25,33.5006,0.070347,50805.2634,2.8809e-06,1.6513e-07,1.0811,0.73565,0.048282,0.048282,
26,34.8971,0.013727,50805.2634,3.7587e-07,1.5773e-08,1.0811,0.72763,0.060301,0.060301,
27,36.3393,0.022801,50805.2634,8.6165e-07,6.457e-08,1.0811,0.74965,0.030908,0.030908,
28,37.8061,0.017678,50805.2634,1.9745e-07,7.8237e-09,1.0811,0.73798,0.0065124,0.0065124,
29,39.3136,0.022841,50805.2634,4.1812e-08,1.0356e-09,1.0811,0.73741,0.0017635,0.0017635,
30,40.7617,0.0091536,169350.8781,6.0055e-07,3.2099e-08,1.0811,0.74149,0.044506,0.044506,
31,42.3064,0.15685,169350.8781,1.5785e-07,6.7526e-09,1.081,0.73693,0.0091401,0.0091401,
32,43.7414,0.011015,169350.8781,8.1915e-08,3.4252e-09,1.081,0.73944,0.033708,0.033708,
33,45.2714,0.031507,564502.9269,4.085e-08,1.2774e-09,1.081,0.72935,0.03177,0.03177,
34,45.4184,0.009542,564502.9269,5.0518e-08,1.7172e-09,1.081,0.73718,0.0026214,0.0026214,
35,45.462,2.3763e-05,564502.9269,3.8007e-09,1.4145e-10,1.081,0.73719,0.0010472,0.0010472,
36,45.4947,7.2312e-08,564502.9269,9.5658e-11,3.236e-12,1.081,0.73719,0.0010627,0.0010627,
37,45.5291,7.471e-09,1881676.4232,5.9737e-10,1.9237e-11,1.081,0.73719,0.0010632,0.0010632,
38,45.5612,2.7505e-08,6272254.7439,8.5057e-10,2.3424e-11,1.081,0.73718,0.0019692,0.0019692,
39,45.5956,5.5387e-09,6272254.7439,3.5747e-11,9.197e-13,1.081,0.73707,0.0036235,0.0036235,
40,45.6314,2.9374e-09,6272254.7439,3.9183e-10,1.3404e-11,1.081,0.73719,0.0024704,0.0024704,
41,45.6662,1.2741e-09,20907515.8129,3.6277e-10,1.169e-11,1.081,0.73722,0.0012014,0.0012014,
42,45.7031,1.447e-09,20907515.8129,9.087e-11,2.8187e-12,1.081,0.7373,0.0035704,0.0035704,
43,45.7406,7.9223e-10,69691719.3763,1.563e-11,3.184e-13,1.081,0.73719,0.0024675,0.0024675,
44,45.7988,4.6675e-10,232305731.2542,1.563e-11,3.184e-13,1.081,0.7368,0.0089485,0.0089485,
45,45.8579,0,774352437.514,1.563e-11,3.184e-13,1.081,0.73552,0.037342,0.037342,
46,45.9172,0,2581174791.7132,1.563e-11,3.184e-13,1.081,0.73122,0.12953,0.12953,
47,45.9759,0,8603915972.3773,1.563e-11,3.184e-13,1.081,0.71691,0.43535,0.43535,
48,46.034,0,8603915972.3773,1.563e-11,3.184e-13,1.081,0.66922,0.60021,0.60021,
49,46.0922,0,28679719907.9244,1.563e-11,3.184e-13,1.081,0.62153,0.71052,0.71052,
50,46.1512,0,95599066359.7481,1.563e-11,3.184e-13,1.081,0.77519,1.1653,1.1653,
51,46.2088,0,318663554532.4938,1.563e-11,3.184e-13,1.081,2.2694,2.5246,2.5246,
52,46.2673,0,1062211848441.646,1.563e-11,3.184e-13,1.081,7.2501,7.334,7.334,
53,46.3252,0,3540706161472.154,1.563e-11,3.184e-13,1.081,20,23.8795,23.8795,
54,46.3828,0,11802353871573.85,1.563e-11,3.184e-13,1.081,20,75.3575,75.3575,
55,46.4407,0,39341179571912.82,1.563e-11,3.184e-13,1.081,20,204.5241,204.5241,
56,46.498,0,131137265239709.4,1.563e-11,3.184e-13,1.081,20,635.0943,635.0943,
57,46.5551,0,437124217465698.1,1.563e-11,3.184e-13,1.081,20,2070.3343,2070.3343,
58,46.6132,0,1457080724885660,1.563e-11,3.184e-13,1.081,20,6853.4447,6853.4447,
59,46.67,0,4856935749618868,1.563e-11,3.184e-13,1.081,20,22796.7785,22796.7785,
60,46.7277,0,1.618978583206289e+16,1.563e-11,3.184e-13,1.081,20,75941.2248,75941.2248,
61,46.7855,0,5.396595277354298e+16,1.563e-11,3.184e-13,1.081,20,253089.3793,253089.3793,
62,46.8449,0,1.798865092451433e+17,1.563e-11,3.184e-13,1.081,20,843583.2274,843583.2274,
63,46.9024,0,5.996216974838111e+17,1.563e-11,3.184e-13,1.081,20,2811896.0546,2811896.0546,
64,46.9599,0,1.998738991612704e+18,1.563e-11,3.184e-13,1.081,20,9372938.8117,9372938.8117,
65,47.0179,0,6.662463305375679e+18,1.563e-11,3.184e-13,1.081,20,31243081.3354,31243081.3354,
66,47.0747,0,2.220821101791893e+19,1.563e-11,3.184e-13,1.081,20,104143556.4146,104143556.4146,
67,47.1322,0,7.402737005972978e+19,1.563e-11,3.184e-13,1.081,20,347145140.0117,347145140.0117,
68,47.1907,0,2.467579001990993e+20,1.563e-11,3.184e-13,1.081,20,1157150418.6688,1157150418.6688,
69,47.2488,0,8.225263339969975e+20,1.563e-11,3.184e-13,1.081,20,3857168014.1925,3857168014.1925,
70,47.3066,0,2.741754446656658e+21,1.563e-11,3.184e-13,1.081,20,12857226665.9383,12857226665.9383,
71,47.3634,0,9.139181488855528e+21,1.563e-11,3.184e-13,1.081,20,42857422171.7576,42857422171.7576,
72,47.4222,0,3.046393829618509e+22,1.563e-11,3.184e-13,1.081,20,142858073857.8217,142858073857.8217,
73,47.4795,0,1.015464609872836e+23,1.563e-11,3.184e-13,1.081,20,476193579478.0355,476193579478.0355,
74,47.5371,0,3.384882032909455e+23,1.563e-11,3.184e-13,1.081,20,1587311931545.415,1587311931545.415,
