"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,13.3695,10.7661,397.7817,1,110.3625,109.2452,
1,0.036056,9.8379,3.3333,1.019,0.53473,204.5229,1.0505,9.9293,9.8767,
2,0.073449,4.5109,3.3333,0.14287,0.098953,171.8678,0.57423,7.8487,7.8472,
3,0.095865,2.2097,3.3333,0.030112,0.024371,161.3738,0.63632,6.2973,6.2972,
4,0.11581,1.4329,11.1111,0.076708,0.048274,156.2819,0.89202,4.9768,4.9761,
5,0.22108,2.066,11.1111,0.040778,0.024038,150.2858,0.81093,3.9615,3.9613,
6,0.30336,1.1915,11.1111,0.032088,0.018952,147.7632,0.87554,3.1352,3.135,
7,0.65216,3.5743,37.037,0.035439,0.021352,142.614,0.95626,2.8856,2.8854,
8,0.96743,1.7358,37.037,0.004274,0.002195,139.5013,0.95197,2.5249,2.5249,
9,1.3508,1.0093,37.037,0.00084627,0.00080094,137.7393,0.92398,2.7798,2.7798,
10,1.7687,3.8725,123.4568,0.08458,0.046855,131.9679,2.834,21.4954,21.4953,
11,1.9837,1.2797,123.4568,0.025672,0.015256,131.3724,0.66462,0.58289,0.5823,
12,1.9935,0.0039628,123.4568,0.00020476,0.00015486,131.3772,0.6899,0.59091,0.59091,
13,2.0149,0.05619,411.5226,0.00037645,0.00020288,131.3617,0.64342,0.45624,0.45624,
14,2.0271,7.5477e-05,411.5226,0.00010556,6.2755e-05,131.3613,0.68686,0.42171,0.42171,
15,2.4853,0.31067,411.5226,6.6078e-05,3.9299e-05,131.3115,0.65967,0.75606,0.75606,
16,3.003,2.4948,1371.7421,0.004055,0.0029004,129.4194,2.3284,12.7695,12.7695,
17,3.3566,0.70677,1371.7421,0.0015851,0.001412,128.4383,1.3134,8.5183,8.5183,
18,3.7474,0.31192,1371.7421,0.0010693,0.00079576,128.2779,0.87045,2.9602,2.9602,
19,4.1521,0.39344,1371.7421,0.0004715,0.00025688,128.1332,0.81248,2.4796,2.4796,
20,4.5657,1.3378,4572.4737,0.0027019,0.0016109,127.2759,4.1997,29.1509,29.1509,
21,4.8846,0.52395,4572.4737,0.0011904,0.00062038,126.2033,1.2435,9.8125,9.8125,
22,5.2929,0.78393,15241.579,0.0011775,0.00080471,124.8146,4.1405,30.702,30.702,
23,5.7487,1.1649,15241.579,0.00038645,0.0002868,123.6404,1.7497,15.0073,15.0073,
24,6.1574,0.51248,50805.2634,0.00089425,0.00058258,123.3232,14.1776,106.8031,106.8031,
25,6.5063,0.092553,50805.2634,0.00029536,0.00015592,123.2713,1.5415,10.7257,10.7257,
26,6.985,0.5454,50805.2634,2.28e-05,1.3939e-05,123.1208,1.0862,3.9558,3.9558,
27,7.4718,0.075703,169350.8781,2.8028e-05,1.9956e-05,123.1095,0.33779,7.1673,7.1673,
28,8.002,0.090337,169350.8781,6.0622e-06,3.7704e-06,123.1034,1.3644,14.5893,14.5893,
