"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,6.2743,3.194,436.7629,1,31.7972,
1,0.039009,15.7786,72.3677,36.1899,10.6164,0.12007,NaN,
2,0.041088,0,72.3677,36.1899,10.6164,0.17527,NaN,
3,0.053308,1.5276,74.4466,37.2395,2.6942,0.60248,NaN,
4,0.06126,0.0057129,74.4497,37.2268,2.6802,0.12103,NaN,
5,0.063117,0,74.4497,37.2268,2.6802,0.17664,NaN,
6,0.087164,0.9174,74.9845,37.4942,1.0558,0.26172,NaN,
7,0.096035,0.00059796,74.9845,37.4925,1.0554,0.037115,NaN,
8,0.098029,0,74.9845,37.4925,1.0554,0.054449,NaN,
9,0.09992,0,74.9845,37.4925,1.0554,0.079829,NaN,
10,0.11928,0.024341,74.9866,37.4934,1.0405,0.085292,NaN,
11,0.12873,4.7269e-05,74.9866,37.4933,1.0405,0.02128,NaN,
12,0.13079,0,74.9866,37.4933,1.0405,0.03123,NaN,
13,0.13256,0,74.9866,37.4933,1.0405,0.045822,NaN,
14,0.19899,0.16106,74.9999,37.5,1.0006,0.049533,NaN,
15,0.20816,4.8311e-06,74.9999,37.5,1.0006,0.016699,NaN,
16,0.21001,0,74.9999,37.5,1.0006,0.024508,NaN,
17,0.22106,1.2239e-06,74.9999,37.4999,1.0006,0.011769,NaN,
18,0.223,0,74.9999,37.4999,1.0006,0.017273,NaN,
19,0.23291,4.4389e-07,74.9999,37.4999,1.0006,0.010904,NaN,
20,0.24418,2.4725e-07,74.9999,37.4999,1.0006,0.0049768,NaN,
21,0.24617,0,74.9999,37.4999,1.0006,0.0073049,NaN,
22,0.29789,0.012684,75,37.5,1,0.0034325,NaN,
23,0.29975,0,75,37.5,1,0.0050381,NaN,
24,0.31114,1.5826e-08,75,37.5,1,0.0016137,NaN,
25,0.31304,0,75,37.5,1,0.0023686,NaN,
26,0.32555,6.3684e-09,75,37.5,1,1.805e-08,NaN,
27,0.32766,0,75,37.5,1,2.6494e-08,NaN,
28,0.32961,0,75,37.5,1,3.8888e-08,NaN,
29,0.34237,0.0028032,75,37.5,1,0.00076051,NaN,
30,0.35575,8.7011e-10,75,37.5,1,2.0173e-10,NaN,
31,0.36921,0.00067042,75,37.5,1,2.6232e-09,NaN,
32,0.38378,0.00043484,75,37.5,1,1.0436e-08,NaN,
33,0.38568,0,75,37.5,1,1.0436e-08,NaN,
