"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,3.6028,2.7544,51.2118,1,8.916,
1,0.036078,4.4495,10,5,2.2365e-09,1,10,
2,0.038018,0,10,5,2.2365e-09,1,10,
3,0.043762,2.8978e-06,10,5,1.8849e-09,1,10,
4,0.051169,2.0547e-06,10,5,1.5729e-09,1,10,
5,0.06561,1.6104e-05,10,5,5.9022e-11,1,10,
6,0.068166,0,10,5,5.9022e-11,1,10,
7,0.078204,1.1373e-07,10,5,5.6145e-11,5.1733e-06,NaN,
8,0.088007,2.6383e-06,10,5,8.6809e-12,2.4106e-06,NaN,
9,0.096802,2.5914e-08,10,5,8.3757e-12,1.1045e-06,NaN,
10,0.11229,1.4962e-06,10,5,2.2694e-13,4.6344e-07,NaN,
11,0.11413,0,10,5,2.2694e-13,6.8023e-07,NaN,
12,0.12261,8.524e-10,10,5,2.2774e-13,6.6204e-07,NaN,
13,0.13114,5.9713e-10,10,5,2.273e-13,2.5008e-10,NaN,
14,0.14059,3.708e-07,10,5,1.7298e-13,4.8275e-10,NaN,
15,0.15171,2.5304e-07,10,5,1.1243e-13,4.8129e-11,NaN,
16,0.16128,1.1813e-07,10,5,9.8888e-16,3.0387e-11,NaN,
17,0.16311,0,10,5,9.8888e-16,4.4602e-11,NaN,
18,0.1708,1.9646e-08,10,5,1.0247e-15,1.2383e-10,NaN,
19,0.181,2.1484e-08,10,5,1.1781e-15,8.8636e-09,NaN,
20,0.18857,3.826e-10,10,5,1.1004e-15,9.9074e-09,NaN,
21,0.19813,3.6917e-10,10,5,1.0279e-15,8.278e-09,NaN,
22,0.20687,1.7847e-10,10,5,9.9382e-16,4.6176e-09,NaN,
23,0.21423,3.5012e-10,10,5,9.2859e-16,1.603e-08,NaN,
24,0.22235,8.472e-11,10,5,9.1315e-16,1.075e-09,NaN,
25,0.22914,1.3401e-09,10,5,6.8634e-16,2.5285e-07,NaN,
26,0.23967,2.4948e-12,10,5,6.8597e-16,1.4972e-12,NaN,
27,0.24787,9.2632e-09,10,5,1.9364e-17,1.6152e-05,NaN,
28,0.26153,2.3707e-11,10,5,1.9364e-17,1.1102e-15,NaN,
29,0.26905,8.0338e-09,10,5,3.3583e-16,1.6368e-05,NaN,
30,0.28287,1.1152e-11,10,5,3.3582e-16,1.1102e-15,NaN,
31,0.29195,1.2811e-08,10,5,4.3398e-16,4.9377e-08,NaN,
32,0.30213,3.6594e-12,10,5,4.3351e-16,1.5378e-11,NaN,
33,0.31016,1.371e-08,10,5,4.3801e-16,3.2617e-07,NaN,
34,0.32295,9.355e-13,10,5,4.3789e-16,5.8414e-13,NaN,
35,0.33209,1.5024e-08,10,5,6.1405e-16,1.0085e-10,NaN,
36,0.33806,4.4543e-09,10,5,1.2632e-16,1.1014e-05,NaN,
37,0.35049,3.483e-12,10,5,1.2632e-16,1.6653e-16,NaN,
38,0.35906,6.9813e-09,10,5,9.9974e-17,2.9746e-05,NaN,
39,0.37252,9.4067e-12,10,5,9.9973e-17,1.3323e-15,NaN,
40,0.3797,7.0671e-09,10,5,1.3215e-16,3.0923e-05,NaN,
41,0.39304,9.7788e-12,10,5,1.3215e-16,1.5543e-15,NaN,
42,0.40013,8.1271e-09,10,5,1.7479e-16,3.4635e-05,NaN,
43,0.41265,1.0953e-11,10,5,1.7479e-16,2.1649e-15,NaN,
44,0.42014,9.4278e-09,10,5,2.3874e-16,2.4099e-05,NaN,
45,0.43251,7.6207e-12,10,5,2.3874e-16,2.4425e-15,NaN,
46,0.44098,1.0924e-08,10,5,3.1585e-16,2.5476e-08,NaN,
47,0.45125,1.2493e-11,10,5,3.145e-16,8.7597e-11,NaN,
48,0.45721,3.1886e-09,10,5,6.4591e-17,6.4992e-06,NaN,
49,0.46934,2.0554e-12,10,5,6.4589e-17,7.2164e-16,NaN,
50,0.47939,1.1003e-08,10,5,6.4646e-16,3.6907e-07,NaN,
51,0.4915,5.8445e-13,10,5,6.4637e-16,3.7687e-13,NaN,
52,0.50171,9.1424e-09,10,5,5.667e-18,2.2952e-05,NaN,
53,0.51483,7.2579e-12,10,5,5.6669e-18,2.1649e-15,NaN,
54,0.52313,6.8265e-09,10,5,3.3784e-16,2.2331e-05,NaN,
55,0.53796,7.0617e-12,10,5,3.3784e-16,1.8319e-15,NaN,
56,0.54618,1.2995e-08,10,5,4.4697e-16,4.7026e-08,NaN,
