"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,183.8513,19.2662,7.5139e-05,NaN,NaN,NaN,NaN,1,26.1426,15.7009,11.9043,
1,141.534,15.9565,0.11662,2.8185e-08,0,8.4426,1,1,16.5175,3.2038,3.0121,
2,102.8404,17.0861,0.24217,3.1316e-08,0,7.5857,0,1,17.1376,1.2908,0.80255,
3,76.0754,14.7314,0.36264,2.8185e-08,0,6.2171,0,1,15.6468,4.6548,3.5665,
4,66.092,13.127,0.47966,1.6643e-08,0,3.2685,0,1,15.7306,8.57,4.9345,
5,68.7815,13.9341,0.59892,8.9814e-08,0,5.0691,1,1.6434,14.4304,2.8233,2.6472,
6,63.0806,12.1673,0.72111,7.9602e-09,0,2.0982,0,1.6434,13.256,4.2036,3.6836,
7,62.9704,12.0815,0.83152,2.8185e-08,0,0.41507,1,1.6434,13.1927,4.2282,3.7116,
8,62.2883,11.92,0.93549,2.5366e-08,0,0.97617,1,1.6434,13.1405,4.4144,3.873,
9,62.0277,11.9243,1.044,1.8492e-08,0,0.637,1,1.6434,13.1851,4.5235,3.9349,
10,61.9372,11.9081,1.1475,2.5366e-08,0,0.59993,1,1.6434,13.1892,4.6347,3.9506,
11,63.0159,11.7892,1.2501,1.69e-07,0,3.1221,1,1.6434,13.5532,6.6848,3.4087,
12,63.0158,11.699,1.3624,1.0919e-08,0,0.0083509,1,1.6434,13.4748,6.6848,3.4087,
13,63.0155,11.7028,1.4775,1.0919e-08,0,0.017872,1,1.6434,13.4782,6.6849,3.4088,
14,63.0152,11.7026,1.5925,1.0919e-08,0,0.015216,1,1.6434,13.4781,6.685,3.4088,
15,63.015,11.7026,1.7019,1.0919e-08,0,0.014247,1,1.6434,13.4781,6.6851,3.4089,
16,63.0148,11.7026,1.8141,1.0919e-08,0,0.013287,1,1.6434,13.4781,6.6851,3.4089,
17,63.0146,11.7026,1.9253,1.0919e-08,0,0.012414,1,1.6434,13.4781,6.6852,3.409,
18,63.0144,11.7025,2.0383,1.0919e-08,0,0.011615,1,1.6434,13.4781,6.6852,3.409,
19,63.0143,11.7025,2.1459,1.0919e-08,0,0.010884,1,1.6434,13.4781,6.6853,3.409,
20,63.0142,11.7024,2.2518,1.0919e-08,0,0.010214,1,1.6434,13.478,6.6853,3.4091,
21,63.0141,11.7023,2.3648,1.0919e-08,0,0.0095992,1,1.6434,13.478,6.6854,3.4091,
22,63.014,11.7023,2.4724,1.0919e-08,0,0.0090338,1,1.6434,13.478,6.6854,3.4091,
23,63.0139,11.7022,2.5739,1.0919e-08,0,0.0085136,1,1.6434,13.4779,6.6854,3.4091,
24,63.0138,11.7021,2.6929,1.0919e-08,0,0.0080339,1,1.6434,13.4779,6.6854,3.4091,
25,63.0137,11.7021,2.8009,1.0919e-08,0,0.0075912,1,1.6434,13.4778,6.6855,3.4092,
26,63.0137,11.702,2.905,1.0919e-08,0,0.0071819,1,1.6434,13.4778,6.6855,3.4092,
27,63.0136,11.7019,3.0177,1.0919e-08,0,0.0068031,1,1.6434,13.4777,6.6855,3.4092,
28,63.0136,11.7019,3.1277,1.0919e-08,0,0.006452,1,1.6434,13.4777,6.6855,3.4092,
29,63.0135,11.7018,3.2389,1.0919e-08,0,0.0061259,1,1.6434,13.4776,6.6855,3.4092,
30,63.0135,11.7017,3.3424,1.2133e-08,0,0.00647,1,1.6434,13.4775,6.6855,3.4092,
31,63.0134,11.7016,3.4488,1.2133e-08,0,0.006123,1,1.6434,13.4775,6.6856,3.4092,
32,63.0134,11.7016,3.5571,1.2133e-08,0,0.0058015,1,1.6434,13.4774,6.6856,3.4092,
33,63.0134,11.7015,3.6661,1.2133e-08,0,0.0055038,1,1.6434,13.4774,6.6856,3.4092,
34,63.0133,11.7014,3.7642,1.2133e-08,0,0.0052276,1,1.6434,13.4773,6.6856,3.4093,
35,63.0133,11.7013,3.8697,1.2133e-08,0,0.0049711,1,1.6434,13.4772,6.6856,3.4093,
36,63.0133,11.7013,3.9766,1.2133e-08,0,0.0047324,1,1.6434,13.4772,6.6856,3.4093,
37,63.0133,11.7012,4.0878,1.2133e-08,0,0.0045102,1,1.6434,13.4771,6.6856,3.4093,
38,63.0133,11.7011,4.1996,1.2133e-08,0,0.0043028,1,1.6434,13.4771,6.6856,3.4093,
39,63.0132,11.7011,4.3121,1.2133e-08,0,0.0041093,1,1.6434,13.477,6.6856,3.4093,
40,63.0132,11.701,4.4244,1.2133e-08,0,0.0039282,1,1.6434,13.477,6.6856,3.4093,
41,63.0132,11.7009,4.5338,1.2133e-08,0,0.0037587,1,1.6434,13.4769,6.6856,3.4093,
42,63.0132,11.7009,4.6293,1.2133e-08,0,0.0035997,1,1.6434,13.4769,6.6856,3.4093,
43,63.0132,11.7008,4.7349,1.2133e-08,0,0.0034505,1,1.6434,13.4768,6.6856,3.4093,
44,63.0132,11.7007,4.8398,1.2133e-08,0,0.0033103,1,1.6434,13.4768,6.6856,3.4093,
45,63.0131,11.7007,4.9621,1.2133e-08,0,0.0031785,1,1.6434,13.4767,6.6857,3.4093,
46,63.0131,11.7006,5.0747,1.2133e-08,0,0.0030543,1,1.6434,13.4767,6.6857,3.4093,
47,63.0131,11.7006,5.185,1.2133e-08,0,0.0029372,1,1.6434,13.4766,6.6857,3.4093,
48,63.0131,11.7005,5.2971,1.3481e-08,0,0.0031408,1,1.6434,13.4766,6.6857,3.4093,
49,63.0131,11.7005,5.4155,1.3481e-08,0,0.0030114,1,1.6434,13.4765,6.6857,3.4093,
