"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,98.4532,0.0023569,26.2066,7.9285,28.4433,
1,112.4828,0.0068063,26.9745,2.3786,27.1816,
2,111.494,0.010004,29.6755,0.02527,29.6757,
3,110.3016,0.014456,29.6258,0.00016117,29.6258,
4,110.2962,0.018909,29.6259,6.732e-09,29.6259,
5,110.2962,0.023397,29.6259,8.8818e-16,29.6259,
6,110.2962,0.028344,29.6259,3.3307e-16,29.6259,
7,110.2962,0.033219,29.6259,4.4409e-16,29.6259,
8,110.2962,0.036458,29.6259,4.4409e-16,29.6259,
9,110.2962,0.039759,29.6259,3.3307e-16,29.6259,
10,110.2962,0.043043,29.6259,2.2204e-16,29.6259,
11,110.2962,0.047134,29.6259,2.2204e-16,29.6259,
12,110.2962,0.051504,29.6259,2.2204e-16,29.6259,
13,110.2962,0.055542,29.6259,2.2204e-16,29.6259,
14,110.2962,0.058712,29.6259,1.1102e-16,29.6259,
15,110.2962,0.062596,29.6259,1.1102e-16,29.6259,
16,110.2962,0.066675,29.6259,1.1102e-16,29.6259,
17,110.2962,0.069847,29.6259,1.1102e-16,29.6259,
18,110.2962,0.073154,29.6259,1.1102e-16,29.6259,
19,110.2962,0.076503,29.6259,1.1102e-16,29.6259,
20,110.2962,0.079832,29.6259,1.1102e-16,29.6259,
21,110.2962,0.083092,29.6259,1.1102e-16,29.6259,
22,110.2962,0.08629,29.6259,1.1102e-16,29.6259,
23,110.2962,0.089642,29.6259,1.1102e-16,29.6259,
24,110.2962,0.093048,29.6259,1.1102e-16,29.6259,
25,110.2962,0.097274,29.6259,1.1102e-16,29.6259,
26,110.2962,0.10148,29.6259,1.1102e-16,29.6259,
27,110.2962,0.10544,29.6259,1.1102e-16,29.6259,
28,110.2962,0.10863,29.6259,1.1102e-16,29.6259,
29,110.2962,0.11303,29.6259,1.1102e-16,29.6259,
30,110.2962,0.11719,29.6259,1.1102e-16,29.6259,
31,110.2962,0.12151,29.6259,1.1102e-16,29.6259,
32,110.2962,0.12538,29.6259,1.1102e-16,29.6259,
33,110.2962,0.12913,29.6259,1.1102e-16,29.6259,
34,110.2962,0.13309,29.6259,1.1102e-16,29.6259,
35,110.2962,0.13752,29.6259,1.1102e-16,29.6259,
36,110.2962,0.14192,29.6259,1.1102e-16,29.6259,
37,110.2962,0.14649,29.6259,1.1102e-16,29.6259,
38,110.2962,0.15077,29.6259,1.1102e-16,29.6259,
39,110.2962,0.15466,29.6259,1.1102e-16,29.6259,
40,110.2962,0.15799,29.6259,1.1102e-16,29.6259,
41,110.2962,0.16202,29.6259,1.1102e-16,29.6259,
42,110.2962,0.16641,29.6259,1.1102e-16,29.6259,
43,110.2962,0.1708,29.6259,1.1102e-16,29.6259,
44,110.2962,0.17499,29.6259,1.1102e-16,29.6259,
45,110.2962,0.17931,29.6259,1.1102e-16,29.6259,
46,110.2962,0.18291,29.6259,1.1102e-16,29.6259,
47,110.2962,0.18702,29.6259,1.1102e-16,29.6259,
48,110.2962,0.19178,29.6259,1.1102e-16,29.6259,
49,110.2962,0.19595,29.6259,1.1102e-16,29.6259,
50,110.2962,0.19933,29.6259,1.1102e-16,29.6259,
51,110.2962,0.20255,29.6259,1.1102e-16,29.6259,
52,110.2962,0.20591,29.6259,1.1102e-16,29.6259,
53,110.2962,0.2093,29.6259,1.1102e-16,29.6259,
54,110.2962,0.21254,29.6259,1.1102e-16,29.6259,
55,110.2962,0.21591,29.6259,1.1102e-16,29.6259,
56,110.2962,0.21975,29.6259,1.1102e-16,29.6259,
57,110.2962,0.22347,29.6259,1.1102e-16,29.6259,
58,110.2962,0.22703,29.6259,1.1102e-16,29.6259,
59,110.2962,0.2303,29.6259,1.1102e-16,29.6259,
60,110.2962,0.2335,29.6259,1.1102e-16,29.6259,
61,110.2962,0.23678,29.6259,1.1102e-16,29.6259,
62,110.2962,0.24,29.6259,1.1102e-16,29.6259,
63,110.2962,0.24339,29.6259,1.1102e-16,29.6259,
64,110.2962,0.24661,29.6259,1.1102e-16,29.6259,
65,110.2962,0.24989,29.6259,1.1102e-16,29.6259,
66,110.2962,0.25348,29.6259,1.1102e-16,29.6259,
67,110.2962,0.2578,29.6259,1.1102e-16,29.6259,
68,110.2962,0.26262,29.6259,1.1102e-16,29.6259,
69,110.2962,0.26582,29.6259,1.1102e-16,29.6259,
70,110.2962,0.26897,29.6259,1.1102e-16,29.6259,
71,110.2962,0.2732,29.6259,1.1102e-16,29.6259,
72,110.2962,0.27783,29.6259,1.1102e-16,29.6259,
73,110.2962,0.28154,29.6259,1.1102e-16,29.6259,
74,110.2962,0.28521,29.6259,1.1102e-16,29.6259,
75,110.2962,0.28885,29.6259,1.1102e-16,29.6259,
76,110.2962,0.29217,29.6259,1.1102e-16,29.6259,
77,110.2962,0.2957,29.6259,1.1102e-16,29.6259,
78,110.2962,0.29901,29.6259,1.1102e-16,29.6259,
79,110.2962,0.30214,29.6259,1.1102e-16,29.6259,
