"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,38.249,0.0030256,2.3056,0.45693,2.3553,
1,37.1744,0.0050906,2.6968,0.39981,2.7325,
2,36.5093,0.008289,1.5503,0.4381,1.6388,
3,35.4038,0.0097945,2.1641,0.38816,2.2209,
4,33.678,0.012411,1.6949,0.32667,1.7711,
5,32.8699,0.013951,1.5726,0.29968,1.6467,
6,32.5095,0.015682,1.641,0.39012,1.7317,
7,29.506,0.018695,2.0261,0.42205,2.1142,
8,28.8922,0.019865,4.6503,0.39267,4.6967,
9,24.2972,0.023799,3.7454,0.32436,3.7805,
10,23.4034,0.025285,4.4868,0.6872,4.5776,
11,22.5568,0.026449,2.7925,0.43622,2.8969,
12,19.2893,0.03446,3.671,0.11329,3.6754,
13,18.423,0.035384,1.9209,0.30045,1.9746,
14,17.6786,0.036275,1.6004,0.15808,1.6132,
15,17.4537,0.037245,1.7829,0.26625,1.8131,
16,17.204,0.038619,0.99624,0.14037,1.0209,
17,16.9547,0.039855,0.6095,0.10742,0.63521,
18,16.6294,0.040834,0.54766,0.11472,0.57142,
19,16.4954,0.04205,0.37415,0.10618,0.39923,
20,16.2162,0.042892,0.19001,0.050526,0.19978,
21,16.0272,0.04384,0.16107,0.0047864,0.16119,
22,16.0126,0.18397,0.072952,0.0017778,0.073029,
23,16.0004,0.18523,0.0072767,4.5193e-05,0.0072771,
