"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","violation_sum","maxviolation","meanviolation",
0,285.8667,182.093,4.7953e-05,NaN,NaN,NaN,NaN,1,156.108,154.9442,154.9442,
1,258.9691,251.8693,0.09445,0.0625,0,4.3694,1,1.8981,75.5372,71.5796,71.5796,
2,239.7583,445.2433,0.18792,0.015625,0,3.1725,1,5.1571,41.0786,31.629,31.629,
3,227.0746,1970.6481,0.28205,0.0039063,0,3.1358,1,29.2842,31.5845,19.0443,19.0443,
4,224.568,20658.3619,0.38502,1.5259e-05,0,1.3581,1,324.6249,30.3909,16.0588,16.0588,
5,226.3932,24.575,0.47852,1,0,0.33795,1,324.6249,26.6842,7.4299,7.4299,
6,225.6024,34.0845,0.57228,0.0039063,0,0.3207,1,324.6249,26.7391,7.4094,7.4094,
7,225.5682,28.943,0.66671,0.00048828,0,0.006421,1,324.6249,26.7415,7.4084,7.4084,
8,220.3816,58.7607,0.75873,0.015625,0,1.6192,1,324.6249,25.1104,2.6557,2.6557,
9,216.8243,2439.1936,0.85329,0.00012207,0,1.8516,1,324.6249,25.1424,2.1504,2.1504,
10,216.2562,25.1205,0.94429,1,0,0.099841,1,324.6249,25.082,0.6215,0.6215,
11,215.7932,27.8559,1.0385,0.0039063,0,0.062441,1,324.6249,25.0898,0.6217,0.6217,
12,215.7806,25.0835,1.1339,0.00024414,0,0.0015668,1,324.6249,25.0901,0.6217,0.6217,
13,215.7151,29.0988,1.2287,0.00048828,0,0.0096827,1,324.6249,25.0925,0.62171,0.62171,
14,215.7045,25.0861,1.3246,0.00024414,0,0.00131,1,324.6249,25.0927,0.62166,0.62166,
15,215.638,30.8487,1.4177,0.00048828,0,0.013769,1,324.6249,25.0967,0.62158,0.62158,
16,215.6205,25.0862,1.5117,0.00048828,0,0.0021581,1,324.6249,25.097,0.62157,0.62157,
17,215.5498,33.8038,1.6048,0.00048828,0,0.020102,1,324.6249,25.1036,0.6215,0.6215,
18,215.536,25.088,1.7001,0.00048828,0,0.0016916,1,324.6249,25.1038,0.62138,0.62138,
19,215.457,38.8725,1.7936,0.00048828,0,0.030142,1,324.6249,25.1146,0.62139,0.62139,
20,215.4364,25.0861,1.8906,0.00097656,0,0.0025227,1,324.6249,25.1149,0.62118,0.62118,
21,215.3881,49.1272,1.9906,0.00024414,0,0.025377,1,324.6249,25.1247,0.62117,0.62117,
22,215.3604,25.0763,2.0882,0.0019531,0,0.0033926,1,324.6249,25.1252,0.62067,0.62067,
23,215.3281,65.1322,2.1831,0.00012207,0,0.021743,1,324.6249,25.1339,0.62067,0.62067,
24,215.2913,25.0533,2.2772,0.0039063,0,0.0045286,1,324.6249,25.1346,0.61952,0.61952,
25,215.2667,90.6108,2.3733,6.1035e-05,0,0.020088,1,324.6249,25.1429,0.61953,0.61953,
26,215.1719,24.9724,2.5005,0.015625,0,0.011787,1,324.6249,25.1447,0.61847,0.61847,
27,215.1553,240.0925,2.5999,7.6294e-06,0,0.017211,1,324.6249,25.152,0.6185,0.6185,
28,214.9289,24.7522,2.6951,0.125,0,0.031047,1,324.6249,25.1566,0.60098,0.60098,
29,210.4429,101.398,2.7877,0.0039063,0,1.3449,1,324.6249,25.408,0.58914,0.58914,
30,207.9771,19952.8659,2.8826,7.6294e-06,0,1.256,1,1816.4003,25.1557,0.5057,0.5057,
31,207.2096,6642.4808,2.9785,0.03125,0,1.6933,1,1816.4003,24.8044,0.25666,0.25666,
32,203.7569,166120.5952,3.0755,1.5259e-05,0,0.99702,1,23886.296,24.4656,0.19809,0.19809,
33,202.615,41861.0769,3.1771,0.0078125,0,0.72815,1,23886.296,24.4754,0.041296,0.041296,
34,201.4662,78696.2804,3.2744,6.1035e-05,0,0.46362,1,44941.214,24.6836,0.011812,0.011812,
35,201.4491,24.5743,3.3691,1,0,0.006746,1,44941.214,24.6834,0.0029538,0.0029538,
36,201.4482,24.5386,3.4667,0.00012207,0,7.3577e-05,1,44941.214,24.6833,0.0029538,0.0029538,
