"iter","time","dist","rho","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual","LagGradNorm",
0,0,NaN,1,12.8346,9.566,187.2636,1,86.9865,85.8036,
1,0.26871,14.5191,3.3333,1.1237,0.98224,34.4586,0.15926,1.6061,0.78099,
2,0.60845,5.8814,3.3333,0.069869,0.048457,32.4105,0.39215,0.23012,0.21758,
3,1.1643,4.5914,11.1111,0.058575,0.054755,32.4256,0.38368,0.10322,0.068043,
4,1.2391,0.11181,11.1111,0.00046199,0.00027175,32.4312,0.38881,0.00065191,0.00045268,
5,1.2561,0.00027316,11.1111,1.7148e-06,1.3767e-06,32.4314,0.38879,0.00021213,0.00021212,
6,1.2585,0,37.037,1.7148e-06,1.3767e-06,32.4314,0.38877,0.00026984,0.00026983,
7,1.2669,4.8116e-07,37.037,6.4214e-07,6.39e-07,32.4314,0.3888,0.0002174,0.00021739,
8,1.3612,0.00064634,123.4568,8.0484e-07,4.5769e-07,32.4314,0.38877,0.00018128,0.00018128,
9,1.3826,1.3186e-05,123.4568,2.3311e-07,1.2244e-07,32.4314,0.3888,0.0001386,0.0001386,
10,1.3916,7.6835e-08,123.4568,1.6596e-07,8.542e-08,32.4314,0.38878,0.00010365,0.00010365,
11,1.4232,4.1692e-05,123.4568,1.2521e-08,1.18e-08,32.4314,0.38878,7.9066e-05,7.9066e-05,
12,1.4757,0.00010054,411.5226,8.6318e-08,4.6111e-08,32.4314,0.38878,6.8083e-05,6.8083e-05,
13,1.4874,2.5369e-08,411.5226,1.2783e-08,9.5415e-09,32.4314,0.38878,6.3039e-05,6.3039e-05,
14,1.5056,3.7814e-06,411.5226,2.3104e-09,1.7385e-09,32.4314,0.38878,3.1986e-05,3.1986e-05,
15,1.5078,0,1371.7421,2.3104e-09,1.7385e-09,32.4314,0.38878,3.4569e-05,3.4569e-05,
16,1.5182,1.5151e-09,1371.7421,1.2016e-09,1.1678e-09,32.4314,0.38878,3.075e-05,3.075e-05,
17,1.5276,4.2192e-09,1371.7421,3.8063e-10,3.6617e-10,32.4314,0.38878,3.0928e-05,3.0928e-05,
18,1.5368,3.2488e-08,4572.4737,3.1294e-09,2.4536e-09,32.4314,0.38878,3.7365e-05,3.7365e-05,
19,1.547,1.1618e-09,4572.4737,1.3064e-09,8.3156e-10,32.4314,0.38878,4.4053e-05,4.4053e-05,
20,1.5574,5.0241e-10,4572.4737,7.9386e-10,6.3441e-10,32.4314,0.38878,3.0522e-05,3.0522e-05,
21,1.5678,6.1139e-10,4572.4737,8.2642e-11,4.3096e-11,32.4314,0.38878,3.0418e-05,3.0418e-05,
22,1.7321,6.4131e-05,15241.579,5.274e-10,2.9515e-10,32.4314,0.38878,1.6933e-05,1.6933e-05,
23,1.7582,0,50805.2634,5.274e-10,2.9515e-10,32.4314,0.38877,6.0311e-05,6.0311e-05,
24,1.78,0,169350.8781,5.274e-10,2.9515e-10,32.4314,0.38874,0.00022692,0.00022692,
25,1.7927,1.2327e-10,169350.8781,1.7541e-10,1.1962e-10,32.4314,0.38877,6.4212e-05,6.4212e-05,
26,1.8063,1.8881e-11,169350.8781,8.5406e-11,5.2162e-11,32.4314,0.38879,6.4403e-05,6.4403e-05,
27,1.8186,3.692e-11,564502.9269,1.3069e-10,7.3432e-11,32.4314,0.38878,9.1144e-05,9.1144e-05,
28,1.8333,2.7471e-11,564502.9269,3.3217e-11,2.9007e-11,32.4314,0.38876,9.0567e-05,9.0567e-05,
29,1.8548,0,1881676.4232,3.3217e-11,2.9007e-11,32.4314,0.38875,0.0002492,0.0002492,
30,1.8765,0,6272254.7439,3.3217e-11,2.9007e-11,32.4314,0.38868,0.00079485,0.00079485,
31,1.8983,0,20907515.8129,3.3217e-11,2.9007e-11,32.4314,0.38847,0.00262,0.00262,
32,1.9199,0,69691719.3763,3.3217e-11,2.9007e-11,32.4314,0.38778,0.0087058,0.0087058,
33,1.9419,0,232305731.2542,3.3217e-11,2.9007e-11,32.4314,0.38547,0.028992,0.028992,
34,1.9631,0,774352437.514,3.3217e-11,2.9007e-11,32.4314,0.37775,0.096615,0.096615,
35,1.9845,0,2581174791.7132,3.3217e-11,2.9007e-11,32.4314,0.35203,0.32202,0.32202,
36,2.0065,0,8603915972.3773,3.3217e-11,2.9007e-11,32.4314,0.26629,1.0734,1.0734,
37,2.0287,0,28679719907.9244,3.3217e-11,2.9007e-11,32.4314,0.10696,3.5779,3.5779,
38,2.0502,0,95599066359.7481,3.3217e-11,2.9007e-11,32.4314,0.97218,11.9264,11.9264,
39,2.0719,0,318663554532.4938,3.3217e-11,2.9007e-11,32.4314,4.1477,39.7545,39.7545,
40,2.0935,0,1062211848441.646,3.3217e-11,2.9007e-11,32.4314,14.7329,132.515,132.515,
41,2.1151,0,3540706161472.154,3.3217e-11,2.9007e-11,32.4314,20,441.7165,441.7165,
42,2.1359,0,11802353871573.85,3.3217e-11,2.9007e-11,32.4314,20,1230.0488,1230.0488,
43,2.1572,0,39341179571912.82,3.3217e-11,2.9007e-11,32.4314,20,3634.84,3634.84,
44,2.1786,0,131137265239709.4,3.3217e-11,2.9007e-11,32.4314,20,11651.1385,11651.1385,
45,2.2004,0,437124217465698.1,3.3217e-11,2.9007e-11,32.4314,20,38372.2503,38372.2503,
46,2.2233,0,1457080724885660,3.3217e-11,2.9007e-11,32.4314,20,127442.6596,127442.6596,
47,2.2446,0,4856935749618868,3.3217e-11,2.9007e-11,32.4314,20,424344.0354,424344.0354,
48,2.2661,0,1.618978583206289e+16,3.3217e-11,2.9007e-11,32.4314,20,1414015.2916,1414015.2916,
49,2.2878,0,5.396595277354298e+16,3.3217e-11,2.9007e-11,32.4314,20,4712919.4798,4712919.4798,
50,2.3098,0,1.798865092451433e+17,3.3217e-11,2.9007e-11,32.4314,20,15709266.7741,15709266.7741,
51,2.3325,0,5.996216974838111e+17,3.3217e-11,2.9007e-11,32.4314,20,52363757.7551,52363757.7551,
52,2.3541,0,1.998738991612704e+18,3.3217e-11,2.9007e-11,32.4314,20,174545394.3585,174545394.3585,
53,2.3757,0,6.662463305375679e+18,3.3217e-11,2.9007e-11,32.4314,20,581817516.3699,581817516.3699,
54,2.3973,0,2.220821101791893e+19,3.3217e-11,2.9007e-11,32.4314,20,1939391256.4077,1939391256.4077,
55,2.4189,0,7.402737005972978e+19,3.3217e-11,2.9007e-11,32.4314,20,6464637056.5341,6464637056.5341,
56,2.4406,0,2.467579001990993e+20,3.3217e-11,2.9007e-11,32.4314,20,21548789723.6218,21548789723.6218,
57,2.4626,0,8.225263339969975e+20,3.3217e-11,2.9007e-11,32.4314,20,71829298613.9141,71829298613.9141,
58,2.4845,0,2.741754446656658e+21,3.3217e-11,2.9007e-11,32.4314,20,239430994914.8887,239430994914.8887,
59,2.506,0,9.139181488855528e+21,3.3217e-11,2.9007e-11,32.4314,20,798103315918.1372,798103315918.1372,
60,2.5276,0,3.046393829618509e+22,3.3217e-11,2.9007e-11,32.4314,20,2660344385928.966,2660344385928.966,
61,2.5489,0,1.015464609872836e+23,3.3217e-11,2.9007e-11,32.4314,20,8867814619298.395,8867814619298.395,
62,2.5702,0,3.384882032909455e+23,3.3217e-11,2.9007e-11,32.4314,20,29559382063863.15,29559382063863.15,
63,2.5918,0,1.128294010969818e+24,3.3217e-11,2.9007e-11,32.4314,20,98531273545745.7,98531273545745.7,
64,2.6143,0,3.760980036566062e+24,3.3217e-11,2.9007e-11,32.4314,20,328437578485354.2,328437578485354.2,
