"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,6.4088,4.2872,450.2819,1,31.1066,
1,0.096342,14.8811,75,37.5,2,1.9711e-05,NaN,
2,0.11849,0.00019188,75,37.5,2,1.4792e-05,NaN,
3,0.13477,6.1841e-05,75,37.5,2,1.0621e-05,NaN,
4,0.14363,8.9895e-07,75,37.5,2,9.5948e-06,NaN,
5,0.17593,5.2259e-05,75,37.5,2,1.9207e-06,NaN,
6,0.17786,0,75,37.5,2,2.8193e-06,NaN,
7,0.20487,4.0173e-06,75,37.5,2,4.4084e-07,NaN,
8,0.20673,0,75,37.5,2,6.4706e-07,NaN,
9,0.21516,3.8193e-09,75,37.5,2,1.2626e-08,NaN,
10,0.22291,3.8314e-07,75,37.5,2,5.5961e-08,NaN,
11,0.27402,2.7597e-06,75,37.5,2,5.529e-08,NaN,
12,0.27598,0,75,37.5,2,8.1155e-08,NaN,
13,0.28384,1.0887e-09,75,37.5,2,5.9084e-09,NaN,
14,0.30863,1.6769e-08,75,37.5,2,7.4498e-06,NaN,
15,0.31916,5.8659e-10,75,37.5,2,9.9698e-14,NaN,
16,0.32952,2.3883e-07,75,37.5,2,4.378e-07,NaN,
17,0.33904,4.3805e-11,75,37.5,2,2.4962e-11,NaN,
18,0.36344,7.6272e-08,75,37.5,2,1.17e-06,NaN,
19,0.3844,0,75,37.5,2,1.7174e-06,NaN,
20,0.40533,0,75,37.5,2,2.5208e-06,NaN,
21,0.42632,0,75,37.5,2,3.7e-06,NaN,
22,0.44752,0,75,37.5,2,5.4308e-06,NaN,
23,0.4695,0,75,37.5,2,7.9714e-06,NaN,
24,0.49135,0,75,37.5,2,1.17e-05,NaN,
25,0.51272,0,75,37.5,2,1.7174e-05,NaN,
26,0.53363,0,75,37.5,2,2.5208e-05,NaN,
27,0.55574,0,75,37.5,2,3.7e-05,NaN,
28,0.5761,0,75,37.5,2,5.4308e-05,NaN,
29,0.59973,0,75,37.5,2,7.9714e-05,NaN,
30,0.62124,0,75,37.5,2,0.000117,NaN,
31,0.64234,0,75,37.5,2,0.00017174,NaN,
32,0.66343,0,75,37.5,2,0.00017174,NaN,
