"iter","time","dist","maxviolation","meanviolation","cost","maxabsLagMult","KKT_residual",
0,0,NaN,16.0721,12.5168,743.7714,1,41.5651,
1,0.30992,16.7543,100,50,1,5.7883e-06,NaN,
2,0.32359,0.00014232,100,50,1,1.1219e-05,NaN,
3,0.33326,4.0417e-06,100,50,1,2.4676e-05,NaN,
4,0.34737,2.1437e-05,100,50,1,9.4473e-06,NaN,
5,0.35997,4.8434e-06,100,50,1,2.0725e-06,NaN,
6,0.38826,1.4566e-05,100,50,1,6.1868e-06,NaN,
7,0.39685,1.1566e-08,100,50,1,2.0031e-06,NaN,
8,0.40729,8.6545e-09,100,50,1,1.0891e-08,NaN,
9,0.42256,1.7393e-06,100,50,1,1.1285e-08,NaN,
10,0.42585,0,100,50,1,1.6565e-08,NaN,
11,0.46559,1.4022e-06,100,50,1,2.8131e-07,NaN,
12,0.47551,3.4872e-10,100,50,1,5.7647e-10,NaN,
13,0.4846,8.184e-08,100,50,1,4.3501e-08,NaN,
14,0.49619,7.4435e-10,100,50,1,7.2712e-09,NaN,
15,0.50664,2.8819e-09,100,50,1,1.6654e-07,NaN,
16,0.51874,8.7163e-11,100,50,1,1.7207e-10,NaN,
17,0.52786,4.5049e-08,100,50,1,1.0198e-07,NaN,
18,0.53656,1.427e-10,100,50,1,5.746e-10,NaN,
19,0.54487,2.138e-08,100,50,1,3.8666e-09,NaN,
20,0.55244,5.0862e-10,100,50,1,1.1756e-08,NaN,
21,0.56523,1.2422e-10,100,50,1,8.5863e-10,NaN,
22,0.57307,1.9725e-09,100,50,1,1.832e-07,NaN,
23,0.58362,3.6741e-12,100,50,1,1.0039e-12,NaN,
24,0.59368,2.9001e-08,100,50,1,1.7563e-09,NaN,
25,0.60163,6.6383e-10,100,50,1,1.0825e-07,NaN,
26,0.61242,4.9187e-12,100,50,1,1.1755e-11,NaN,
27,0.62086,2.0108e-08,100,50,1,4.1764e-09,NaN,
28,0.62972,9.5521e-11,100,50,1,8.2502e-09,NaN,
29,0.6388,9.4723e-11,100,50,1,4.102e-09,NaN,
30,0.64783,9.3936e-11,100,50,1,8.1031e-09,NaN,
31,0.65698,9.3159e-11,100,50,1,4.0288e-09,NaN,
32,0.66541,1.8478e-10,100,50,1,2.3363e-08,NaN,
33,0.67532,4.5441e-11,100,50,1,9.7124e-10,NaN,
34,0.68326,7.2397e-10,100,50,1,3.7052e-07,NaN,
35,0.69442,2.6506e-12,100,50,1,3.2578e-12,NaN,
36,0.70384,2.1602e-08,100,50,1,1.4584e-09,NaN,
37,0.71271,8.5503e-10,100,50,1,3.6332e-07,NaN,
38,0.72428,3.1178e-12,100,50,1,4.8844e-12,NaN,
39,0.73277,2.5169e-08,100,50,1,3.321e-08,NaN,
40,0.74229,3.1864e-11,100,50,1,7.2936e-10,NaN,
41,0.75004,2.0341e-09,100,50,1,2.1164e-06,NaN,
42,0.76173,4.8377e-13,100,50,1,1.2035e-13,NaN,
43,0.77277,2.7911e-08,100,50,1,9.883e-11,NaN,
44,0.78051,1.6501e-08,100,50,1,4.9841e-08,NaN,
45,0.79038,4.8039e-12,100,50,1,2.2413e-12,NaN,
46,0.79685,1.8748e-08,100,50,1,8.2648e-08,NaN,
47,0.80692,7.5514e-12,100,50,1,3.2691e-11,NaN,
48,0.81404,8.501e-09,100,50,1,4.4131e-06,NaN,
49,0.82631,4.4307e-13,100,50,1,1.3545e-14,NaN,
50,0.8354,9.9425e-09,100,50,1,8.3381e-05,NaN,
51,0.85684,0,100,50,1,8.3381e-05,NaN,
