"iter","cost","gradnorm","time","stepsize","ls_max_steps_break","dist","qpexitflag","rho","KKT_residual","maxviolation","meanviolation",
0,220.0444,23.4823,6.2301e-05,NaN,NaN,NaN,NaN,1,24.0939,5.3149,3.1186,
1,124.371,15.3378,0.12122,1.3481e-08,0,7.9565,0,1,21.3409,13.9836,9.474,
2,99.8626,15.394,0.23841,4.2958e-08,0,8.4779,1,1,20.3563,9.4335,9.4182,
3,74.5317,15.0961,0.36347,2.283e-08,0,5.3873,0,1,28.1368,20.3079,16.3056,
4,71.0915,16.4994,0.48979,7.1642e-09,0,1.5002,1,2.1693,29.59,21.0657,16.849,
5,89.5824,16.2011,0.61388,1.232e-07,0,9.4855,1,2.1693,17.711,6.6993,4.607,
6,86.7674,15.8761,0.7573,6.4478e-09,0,1.3311,1,2.1693,17.6262,7.0592,5.0127,
7,85.1147,15.7453,0.88672,4.7004e-09,0,0.90903,1,2.1693,17.6751,7.4331,5.2368,
8,84.7303,15.7748,1.0171,7.9602e-09,0,0.56491,1,2.1693,17.7356,7.4871,5.2967,
9,74.1151,18.5641,1.1302,7.3875e-07,0,10.9338,1,2.1693,20.4506,6.7001,6.0291,
10,57.8612,13.8026,1.2052,0.16677,0,5.5026,1,2.1693,17.7599,10.4101,7.238,
11,43.1412,6.0113,1.2825,1,0,6.9622,1,2.1693,6.8008,2.6805,2.1962,
12,39.8098,0.83715,1.3691,1,0,2.6275,1,2.1693,1.4792,1.2023,0.70338,
13,39.9729,0.08061,1.4391,1,0,0.728,1,2.1693,0.11829,0.079755,0.056713,
14,39.9733,0.0029797,1.5064,1,0,0.047377,1,2.1693,0.0029909,0.00025103,0.00015622,
15,39.9734,0.0007032,1.5741,1,0,0.0044748,1,2.1693,0.00070321,3.1621e-06,1.705e-06,
16,39.9734,0.00016666,1.6415,1,0,0.0010967,1,2.1693,0.00016666,2.3331e-07,1.3134e-07,
17,39.9734,3.9438e-05,1.7093,1,0,0.00025946,1,2.1693,3.9438e-05,1.3035e-08,7.3471e-09,
