"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,69.0043,0.0018241,17.0531,1.3835,17.1156,
1,71.0433,0.0026578,16.7857,0.90899,16.8132,
2,74.2524,0.0032125,16.9834,0.077928,16.9838,
3,72.2648,0.0036165,16.4337,0.0014119,16.4337,
4,72.2408,0.0040616,16.4238,4.9826e-07,16.4238,
5,72.2408,0.0044581,16.4238,6.2172e-14,16.4238,
6,72.2408,0.0048553,16.4238,1.1102e-16,16.4238,
7,72.2408,0.00537,16.4238,1.1102e-16,16.4238,
8,72.2408,0.0058759,16.4238,1.1102e-16,16.4238,
9,72.2408,0.0064668,16.4238,1.1102e-16,16.4238,
10,72.2408,0.0070732,16.4238,1.1102e-16,16.4238,
11,72.2408,0.0077336,16.4238,1.1102e-16,16.4238,
12,72.2408,0.0084756,16.4238,1.1102e-16,16.4238,
13,72.2408,0.0089853,16.4238,1.1102e-16,16.4238,
14,72.2408,0.0094879,16.4238,1.1102e-16,16.4238,
15,72.2408,0.0099878,16.4238,1.1102e-16,16.4238,
16,72.2408,0.010488,16.4238,1.1102e-16,16.4238,
17,72.2408,0.011023,16.4238,1.1102e-16,16.4238,
18,72.2408,0.011521,16.4238,1.1102e-16,16.4238,
19,72.2408,0.012115,16.4238,1.1102e-16,16.4238,
20,72.2408,0.012617,16.4238,1.1102e-16,16.4238,
21,72.2408,0.013309,16.4238,1.1102e-16,16.4238,
22,72.2408,0.013812,16.4238,1.1102e-16,16.4238,
23,72.2408,0.014351,16.4238,1.1102e-16,16.4238,
24,72.2408,0.01485,16.4238,1.1102e-16,16.4238,
25,72.2408,0.015349,16.4238,1.1102e-16,16.4238,
26,72.2408,0.015845,16.4238,1.1102e-16,16.4238,
27,72.2408,0.016485,16.4238,1.1102e-16,16.4238,
28,72.2408,0.017107,16.4238,1.1102e-16,16.4238,
29,72.2408,0.017603,16.4238,1.1102e-16,16.4238,
30,72.2408,0.018135,16.4238,1.1102e-16,16.4238,
31,72.2408,0.018632,16.4238,1.1102e-16,16.4238,
32,72.2408,0.019168,16.4238,1.1102e-16,16.4238,
33,72.2408,0.019667,16.4238,1.1102e-16,16.4238,
34,72.2408,0.020272,16.4238,1.1102e-16,16.4238,
35,72.2408,0.02081,16.4238,1.1102e-16,16.4238,
36,72.2408,0.021341,16.4238,1.1102e-16,16.4238,
37,72.2408,0.021837,16.4238,1.1102e-16,16.4238,
38,72.2408,0.022337,16.4238,1.1102e-16,16.4238,
39,72.2408,0.022833,16.4238,1.1102e-16,16.4238,
40,72.2408,0.023418,16.4238,1.1102e-16,16.4238,
41,72.2408,0.024009,16.4238,1.1102e-16,16.4238,
42,72.2408,0.024633,16.4238,1.1102e-16,16.4238,
43,72.2408,0.025426,16.4238,1.1102e-16,16.4238,
44,72.2408,0.026,16.4238,1.1102e-16,16.4238,
45,72.2408,0.026498,16.4238,1.1102e-16,16.4238,
46,72.2408,0.027063,16.4238,1.1102e-16,16.4238,
47,72.2408,0.027561,16.4238,1.1102e-16,16.4238,
48,72.2408,0.028135,16.4238,1.1102e-16,16.4238,
49,72.2408,0.028633,16.4238,1.1102e-16,16.4238,
50,72.2408,0.029177,16.4238,1.1102e-16,16.4238,
51,72.2408,0.029674,16.4238,1.1102e-16,16.4238,
52,72.2408,0.030295,16.4238,1.1102e-16,16.4238,
53,72.2408,0.030793,16.4238,1.1102e-16,16.4238,
54,72.2408,0.031382,16.4238,1.1102e-16,16.4238,
55,72.2408,0.03195,16.4238,1.1102e-16,16.4238,
56,72.2408,0.03246,16.4238,1.1102e-16,16.4238,
57,72.2408,0.032994,16.4238,1.1102e-16,16.4238,
58,72.2408,0.03349,16.4238,1.1102e-16,16.4238,
59,72.2408,0.034072,16.4238,1.1102e-16,16.4238,
60,72.2408,0.034569,16.4238,1.1102e-16,16.4238,
61,72.2408,0.035204,16.4238,1.1102e-16,16.4238,
62,72.2408,0.035703,16.4238,1.1102e-16,16.4238,
63,72.2408,0.036204,16.4238,1.1102e-16,16.4238,
64,72.2408,0.0367,16.4238,1.1102e-16,16.4238,
65,72.2408,0.037234,16.4238,1.1102e-16,16.4238,
66,72.2408,0.037731,16.4238,1.1102e-16,16.4238,
67,72.2408,0.038315,16.4238,1.1102e-16,16.4238,
68,72.2408,0.038812,16.4238,1.1102e-16,16.4238,
69,72.2408,0.039496,16.4238,1.1102e-16,16.4238,
70,72.2408,0.04003,16.4238,1.1102e-16,16.4238,
71,72.2408,0.040525,16.4238,1.1102e-16,16.4238,
72,72.2408,0.041105,16.4238,1.1102e-16,16.4238,
73,72.2408,0.041603,16.4238,1.1102e-16,16.4238,
74,72.2408,0.042265,16.4238,1.1102e-16,16.4238,
75,72.2408,0.042764,16.4238,1.1102e-16,16.4238,
76,72.2408,0.043336,16.4238,1.1102e-16,16.4238,
77,72.2408,0.043845,16.4238,1.1102e-16,16.4238,
78,72.2408,0.044363,16.4238,1.1102e-16,16.4238,
79,72.2408,0.044967,16.4238,1.1102e-16,16.4238,
80,72.2408,0.045474,16.4238,1.1102e-16,16.4238,
81,72.2408,0.046104,16.4238,1.1102e-16,16.4238,
82,72.2408,0.046604,16.4238,1.1102e-16,16.4238,
83,72.2408,0.047268,16.4238,1.1102e-16,16.4238,
84,72.2408,0.047766,16.4238,1.1102e-16,16.4238,
85,72.2408,0.048268,16.4238,1.1102e-16,16.4238,
86,72.2408,0.048771,16.4238,1.1102e-16,16.4238,
87,72.2408,0.049271,16.4238,1.1102e-16,16.4238,
88,72.2408,0.049769,16.4238,1.1102e-16,16.4238,
89,72.2408,0.05027,16.4238,1.1102e-16,16.4238,
90,72.2408,0.050767,16.4238,1.1102e-16,16.4238,
91,72.2408,0.051319,16.4238,1.1102e-16,16.4238,
92,72.2408,0.051848,16.4238,1.1102e-16,16.4238,
93,72.2408,0.052344,16.4238,1.1102e-16,16.4238,
94,72.2408,0.052844,16.4238,1.1102e-16,16.4238,
95,72.2408,0.053342,16.4238,1.1102e-16,16.4238,
96,72.2408,0.053895,16.4238,1.1102e-16,16.4238,
97,72.2408,0.05439,16.4238,1.1102e-16,16.4238,
98,72.2408,0.054887,16.4238,1.1102e-16,16.4238,
99,72.2408,0.055386,16.4238,1.1102e-16,16.4238,
100,72.2408,0.05597,16.4238,1.1102e-16,16.4238,
101,72.2408,0.056452,16.4238,1.1102e-16,16.4238,
102,72.2408,0.057076,16.4238,1.1102e-16,16.4238,
103,72.2408,0.057549,16.4238,1.1102e-16,16.4238,
104,72.2408,0.058055,16.4238,1.1102e-16,16.4238,
105,72.2408,0.058525,16.4238,1.1102e-16,16.4238,
106,72.2408,0.059253,16.4238,1.1102e-16,16.4238,
107,72.2408,0.059738,16.4238,1.1102e-16,16.4238,
108,72.2408,0.060243,16.4238,1.1102e-16,16.4238,
109,72.2408,0.060712,16.4238,1.1102e-16,16.4238,
110,72.2408,0.061257,16.4238,1.1102e-16,16.4238,
111,72.2408,0.061726,16.4238,1.1102e-16,16.4238,
112,72.2408,0.062279,16.4238,1.1102e-16,16.4238,
113,72.2408,0.062786,16.4238,1.1102e-16,16.4238,
114,72.2408,0.063379,16.4238,1.1102e-16,16.4238,
115,72.2408,0.063884,16.4238,1.1102e-16,16.4238,
116,72.2408,0.064353,16.4238,1.1102e-16,16.4238,
117,72.2408,0.064915,16.4238,1.1102e-16,16.4238,
118,72.2408,0.06541,16.4238,1.1102e-16,16.4238,
119,72.2408,0.065981,16.4238,1.1102e-16,16.4238,
120,72.2408,0.066478,16.4238,1.1102e-16,16.4238,
121,72.2408,0.067071,16.4238,1.1102e-16,16.4238,
122,72.2408,0.06757,16.4238,1.1102e-16,16.4238,
123,72.2408,0.068144,16.4238,1.1102e-16,16.4238,
124,72.2408,0.068639,16.4238,1.1102e-16,16.4238,
125,72.2408,0.069136,16.4238,1.1102e-16,16.4238,
126,72.2408,0.069632,16.4238,1.1102e-16,16.4238,
127,72.2408,0.070167,16.4238,1.1102e-16,16.4238,
128,72.2408,0.070664,16.4238,1.1102e-16,16.4238,
129,72.2408,0.071197,16.4238,1.1102e-16,16.4238,
130,72.2408,0.071692,16.4238,1.1102e-16,16.4238,
131,72.2408,0.07219,16.4238,1.1102e-16,16.4238,
132,72.2408,0.072686,16.4238,1.1102e-16,16.4238,
