"iter","cost","time","LagGradNorm","maxviolation","KKT_residual",
0,221.7881,0.0033374,9.145,2.5162,9.5055,
1,215.8141,0.012232,5.7664,0.29591,5.7813,
2,204.0695,0.0157,6.8603,0.84735,7.053,
3,162.3416,0.021719,4.3435,1.1713,4.6585,
4,146.347,0.026384,4.8654,1.6812,5.5848,
5,128.2163,0.033055,5.0169,0.52157,5.187,
6,120.3142,0.03617,5.7545,1.0751,6.232,
7,118.6902,0.039227,2.9597,1.1631,3.977,
8,118.444,0.042305,3.8678,0.99108,4.6162,
9,112.4896,0.04563,3.4383,1.5574,4.3023,
10,109.0816,0.049387,2.8019,1.7164,3.84,
11,104.704,0.052481,3.0719,1.5934,3.9459,
12,102.0748,0.055153,4.436,1.2574,4.7237,
13,100.7893,0.058965,4.0508,0.8525,4.2233,
14,97.0262,0.063278,2.5447,0.71876,2.7645,
15,94.8854,0.067468,2.8423,0.38973,2.9346,
16,93.849,0.071372,2.1537,0.28737,2.2222,
17,92.4626,0.075462,1.4777,0.23705,1.5463,
18,92.0628,0.079103,3.2229,0.44636,3.3118,
19,89.1075,0.082997,1.7737,0.68689,1.9748,
20,88.1631,0.088429,1.0632,0.54398,1.2726,
21,87.4765,0.092441,1.4917,0.34583,1.5577,
22,86.8025,0.097298,1.0381,0.17848,1.0762,
23,86.5632,0.10185,1.1753,0.09497,1.1925,
24,86.2389,0.10644,1.1113,0.075318,1.1238,
25,85.6517,0.11015,1.2715,0.13503,1.2858,
26,85.1418,0.11526,0.80844,0.068767,0.81979,
27,84.8769,0.11938,0.64622,0.05819,0.658,
28,84.7331,0.12434,0.61643,0.060751,0.62698,
29,84.6473,0.13057,0.65334,0.062057,0.6626,
30,84.6112,0.13632,0.59851,0.073642,0.60989,
31,84.3297,0.14437,0.33907,0.043019,0.34693,
32,84.2395,0.15382,0.36894,0.04601,0.37576,
33,84.1821,0.15849,0.54778,0.049252,0.55326,
34,84.0392,0.16677,0.72973,0.062166,0.7344,
35,84.001,0.17054,0.80942,0.06415,0.81389,
36,83.4419,0.17618,0.60958,0.01514,0.60989,
37,83.4267,0.18038,0.63623,0.020242,0.63674,
38,83.2701,0.18631,0.68229,0.018976,0.68277,
39,83.2358,0.19043,0.62287,0.022458,0.62355,
40,83.1928,0.19427,0.59709,0.024065,0.59788,
41,83.138,0.19787,0.65671,0.0253,0.65749,
42,83.0928,0.20279,0.85961,0.029441,0.86041,
43,82.9323,0.20641,1.0341,0.0072464,1.0342,
44,82.8808,0.21,0.72609,0.0059023,0.72613,
45,82.8526,0.21408,0.74209,0.0034248,0.74212,
46,82.8207,0.21797,0.42033,0.0018584,0.42035,
47,82.8136,0.22281,0.35177,0.00095321,0.35178,
48,82.8087,0.22672,0.2306,0.00090703,0.23061,
49,82.8053,0.2302,0.10682,0.0011561,0.10683,
50,82.8009,0.23344,0.053756,0.00027536,0.05376,
51,82.7982,0.23599,0.016288,0.00014623,0.016291,
52,82.7979,0.23865,0.027253,0.00015875,0.027254,
53,82.7972,0.24115,0.0045283,7.6894e-05,0.0045298,
54,82.7971,0.24385,0.0079662,1.8072e-05,0.0079662,
55,82.797,0.24643,0.0035093,7.7982e-06,0.0035093,
56,82.797,0.24907,0.0043864,1.7768e-06,0.0043864,
57,82.7969,0.25174,0.0009373,6.5325e-07,0.0009373,
58,82.7969,0.25424,0.0026908,6.1553e-07,0.0026908,
59,82.7969,0.25677,0.000501,2.3559e-07,0.000501,
60,82.7969,0.25927,0.00038259,3.3481e-08,0.00038259,
61,82.7969,0.26177,0.00019584,1.6272e-08,0.00019584,
62,82.7969,0.26449,0.00023429,8.4954e-09,0.00023429,
63,82.7969,0.26708,0.00010184,2.4306e-09,0.00010184,
64,82.7969,0.2696,5.5313e-05,2.2324e-09,5.5313e-05,
65,82.7969,0.2725,4.9964e-05,1.5164e-09,4.9964e-05,
66,82.7969,0.27493,1.5596e-05,7.9269e-11,1.5596e-05,
67,82.7969,0.27778,1.1525e-05,3.2568e-11,1.1525e-05,
68,82.7969,0.28029,5.7923e-06,5.5072e-12,5.7923e-06,
69,82.7969,0.28289,2.1168e-06,3.6742e-12,2.1168e-06,
70,82.7969,0.28543,1.1113e-06,4.6518e-13,1.1113e-06,
71,82.7969,0.28852,6.3161e-07,7.5495e-14,6.3161e-07,
