,RALM,REPM(LQH),REPM(LSE),fmincon SQO,RSQO
0,31.3302,20.1012,20.1008,26.4786,20.1008
1,1.9115,1.1009,0.97554,28.4091,14.8478
2,0.19389,0.81862,0.050378,33.1253,10.1066
3,0.28776,2.4161,0.028236,27.6408,10.1149
4,0.0013542,0.022019999999999998,0.019239,28.3572,9.7812
5,1.667e-05,0.015066,0.013121,24.893,12.395999999999999
6,4.2434e-06,0.010281,0.0089472,17.6924,13.5659
7,1.831e-06,0.007019,0.0060955,16.7349,13.7015
8,1.7087e-06,0.0050956000000000005,0.0041535,13.1376,13.694
9,1.5220999999999998e-07,0.003307,0.0028268,10.577,13.7407
10,7.622399999999999e-07,0.0022105000000000002,0.0019254,10.9562,12.5559
11,2.7170000000000003e-07,0.001506,0.0013117,10.9335,11.8549
12,2.8424e-06,0.001026,0.00089699,10.9334,13.4457
13,8.2429e-07,0.00070159,0.0006224000000000001,13.467,11.8427
14,1.6469999999999999e-07,0.00048668,0.00044626,11.7006,12.4161
15,1.414e-07,0.00034875,0.0003398,9.3441,11.7868
16,4.4303000000000007e-07,0.000265,0.00028126,11.5097,6.4348
17,1.8255000000000001e-06,0.00021913,0.00025289999999999997,17.5656,5.6859
18,6.4886e-06,0.00019651,0.00024098,16.7873,1.1344
19,8.0761e-06,0.00018697,0.00023694,12.5171,0.07763099999999999
20,1.4375999999999998e-07,0.00018371,0.00023619,12.5171,0.011434999999999999
21,8.0768e-06,0.00018309,0.00023662,18.1921,0.00015072
22,3.6911999999999995e-05,0.00019202,0.00024042,18.7905,3.095e-08
23,0.00018687,0.00018754,0.00023804,18.7742,2.3937e-12
24,0.00068673,0.00018784,0.00023963,10.4254,4.6619e-12
25,0.0023529,0.00018483,0.00023904,10.6923,2.1211999999999998e-13
26,0.0079069,0.00018731,0.00023936,12.6954,4.8549e-12
27,0.02642,0.0012779999999999998,0.0002396,12.4581,3.4237e-12
28,0.088132,0.00082313,0.00024029,9.8721,2.641e-12
29,0.29384,0.0024135000000000003,0.001011,10.4251,3.9006e-12
30,0.9795200000000001,0.0013371,0.00024705,12.2205,3.9459e-13
