method,nrep,time,iter
LQH,1,1.9678,162
LSE,1,14.8418,838
Riemannian_SQP,1,0.46116,11
ALM,2,0.34668000000000004,19
LQH,2,11.2289,930
LSE,2,5.3493,200
Riemannian_SQP,2,1.3835,30
LQH,3,17.9771,1458
LSE,3,1.2409999999999999,27
Riemannian_SQP,3,0.71643,16
ALM,4,0.7810199999999999,19
LQH,4,32.9344,2621
LSE,4,1.3592,20
Riemannian_SQP,4,0.43951,11
ALM,5,1.2491,18
LQH,5,1.8784,24
Riemannian_SQP,5,1.5276,36
ALM,6,1.6318,23
LQH,6,0.46507,16
LSE,6,47.0261,2673
Riemannian_SQP,6,1.3134,27
ALM,7,1.0111,21
LQH,7,0.28068000000000004,18
LSE,7,1.5057,20
Riemannian_SQP,7,1.8075,36
ALM,8,1.0746,16
LQH,8,4.9476,402
LSE,8,49.0221,2633
Riemannian_SQP,8,0.55918,12
ALM,9,0.83296,20
LQH,9,0.9259299999999999,69
LSE,9,34.5075,1910
Riemannian_SQP,9,1.5036,35
ALM,10,1.0853,21
LQH,10,7.6059,621
LSE,10,4.8177,177
Riemannian_SQP,10,0.6692100000000001,16
LQH,11,0.52604,47
LSE,11,1.8772,20
Riemannian_SQP,11,0.65967,15
ALM,12,0.83496,18
LQH,12,0.27348,20
LSE,12,4.8917,250
Riemannian_SQP,12,1.0214,23
ALM,13,0.86165,21
LQH,13,2.9707,232
LSE,13,3.2816,169
Riemannian_SQP,13,1.3675,33
LQH,14,0.41289,21
LSE,14,3.0005,115
Riemannian_SQP,14,0.51652,12
ALM,15,1.3739,21
LQH,15,0.21823,22
LSE,15,1.9695,17
Riemannian_SQP,15,0.88095,21
LQH,16,18.1055,1367
LSE,16,7.4217,268
Riemannian_SQP,16,0.69909,17
ALM,17,0.74851,24
LQH,17,2.7084,227
LSE,17,1.1563,28
Riemannian_SQP,17,1.4833,34
LQH,18,4.4612,350
LSE,18,1.0711,45
Riemannian_SQP,18,0.6656,16
ALM,19,0.32649,17
LQH,19,3.4749,274
LSE,19,1.3115,19
Riemannian_SQP,19,1.6669999999999998,36
ALM,20,0.65528,17
LQH,20,0.27857,17
LSE,20,8.4842,442
Riemannian_SQP,20,0.99672,23
