,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,2.7083e-05,-3
1,0.0,0.0,0.0,2.7083e-05,-2
2,0.0,0.0,0.0,2.7083e-05,-1
3,0.5188699999999999,0.027818,0.81224,0.095435,0
4,0.5188699999999999,0.027818,0.81224,0.27375,1
5,0.5402600000000001,0.027818,0.8420200000000001,0.3619,2
6,0.5402600000000001,0.027818,0.8554799999999999,0.3619,3
7,0.5647800000000001,0.055542999999999995,0.93609,0.40593,4
8,0.636,0.12469000000000001,1.0624,0.40593,5
9,0.7423,,3.1018,0.40593,6
10,,,14.5288,0.4494,7
11,,,,6.8271,8
