method,nrep,time,iter
Riemannian_SQP,1,2.7411,67
Riemannian_SQP,2,5.0087,120
Riemannian_SQP,4,3.0135,65
Riemannian_SQP,5,15.5724,388
Riemannian_SQP,6,4.4593,100
Riemannian_SQP,7,5.0251,102
Riemannian_SQP,8,0.5844699999999999,14
Riemannian_SQP,9,3.2349,74
Riemannian_SQP,10,2.1378,55
Riemannian_SQP,11,8.5593,202
Riemannian_SQP,12,2.7599,68
Riemannian_SQP,13,2.6798,56
Riemannian_SQP,14,1.4537,31
Riemannian_SQP,15,2.2337,52
Riemannian_SQP,16,4.2727,95
Riemannian_SQP,17,8.1,197
Riemannian_SQP,18,0.40552,10
Riemannian_SQP,19,7.846,177
Riemannian_SQP,20,0.55273,12
