,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,2.778e-05
1,1.1033,0.3381,1.6211,0.21274
2,1.9637,0.36066,3.2842,0.40642
3,2.9108,0.41931,4.94,0.6169600000000001
4,3.8628,0.46336000000000005,5.805,0.81129
5,4.835,0.53001,6.8829,1.008
6,5.8674,0.58649,8.1615,1.2337
7,6.8079,0.67079,9.4938,1.4296
8,7.767,0.71812,9.9158,1.6327
9,8.7245,0.79346,10.8116,1.8321
10,9.6655,0.80828,10.8398,2.0321
11,10.6009,0.8239700000000001,10.8683,2.2313
12,11.5226,0.83804,10.8962,2.4291
13,12.4546,0.85561,10.9258,2.6213
14,13.3778,0.8697,10.9538,2.8053
15,14.3032,0.88821,10.9844,2.9931
16,15.2353,0.9053700000000001,11.0126,3.1783
17,16.1616,0.92429,11.0454,3.3637
18,17.0845,0.9407700000000001,11.0761,3.551
19,18.0147,0.96041,11.1084,3.7429
20,18.9598,0.9815200000000001,11.14,3.9337
21,19.9345,1.0092,11.1746,4.118
22,20.9134,1.0296,11.2078,4.3057
23,21.9064,1.0541,11.2419,4.4957
24,22.8526,1.0747,11.2756,4.6919
25,23.7988,1.0988,11.3113,4.8839999999999995
26,24.7367,1.1215,11.345999999999998,5.0811
27,25.6821,1.1467,11.3823,5.27
28,25.7377,1.1712,11.4177,5.4589
29,26.6948,1.1962,11.4551,5.655
30,27.623,1.2199,11.4934,5.8485
31,27.6658,1.2464,11.5314,6.0374
32,27.7065,1.2704,11.5665,6.2407
33,27.7303,1.2955,11.6045,6.4281
34,27.7548,1.3177,11.6417,6.6292
35,27.7864,1.3424,11.6802,6.8167
36,27.816,1.3643,11.7155,7.0121
37,27.8395,1.3898,11.7532,7.2035
38,27.8663,1.4129,11.7883,7.3986
39,27.8915,1.4385,11.8263,7.5868
40,27.9199,1.4576,11.8632,7.7752
41,27.9475,1.483,11.901,7.9674
42,27.9758,1.5138,11.9349,8.1525
43,28.005,1.5406,11.9735,8.3365
44,28.0335,1.564,12.0106,8.5183
45,28.0632,1.59,12.0483,8.7014
46,28.1092,1.6134,12.0838,8.8843
47,28.1551,1.6402,12.1217,9.0688
48,28.201999999999998,1.6613,12.1597,9.2545
49,28.2494,1.6868,12.1978,9.4364
50,28.2956,1.7097,12.2334,9.6291
51,28.3417,1.7343,12.2721,9.8154
52,28.3885,1.7576,12.3089,10.0123
53,28.434,1.7815,12.3452,10.198
54,28.4801,1.8016,12.3822,10.3801
55,28.5261,1.8268,12.4134,10.5735
56,28.572,1.8502,12.453,10.7578
57,28.6179,1.8757,12.492,10.9427
58,28.6639,1.8982,12.5301,11.1264
59,28.7096,1.9234,12.5674,11.312999999999999
60,28.7554,1.9417,12.6054,11.4982
61,28.8014,1.9668,12.6401,11.6849
62,28.8492,1.9909999999999999,12.6796,11.8737
63,28.8951,2.0136,12.7146,12.0576
64,28.9409,2.0382,12.754000000000001,12.2462
65,28.9869,2.0613,12.7843,12.4273
66,29.0333,2.0845,12.8231,12.6108
67,29.0791,2.1074,12.8599,12.7969
68,29.1249,2.1304,12.8986,12.9791
69,29.1707,2.1536,12.9342,13.1607
70,29.2166,2.1766,12.9716,13.3468
71,29.2627,2.2,13.0081,13.5317
72,29.3086,2.2239,13.0458,13.7211
73,29.3549,2.2479,13.0781,13.9063
74,29.4009,2.2702,13.1166,14.0909
75,29.4475,2.2922,13.1529,14.2753
76,29.4936,2.3171,13.192,14.4651
77,29.5395,2.3378,13.2249,14.6519
78,29.5853,2.3627,13.2645,14.8405
79,29.6313,2.3835,13.3003,15.0221
80,29.6777,2.4087,13.3393,15.2046
81,29.7236,2.4288,13.3748,15.3868
82,29.7697,2.4533,13.4133,15.5721
83,29.8155,2.4753,13.4482,15.7532
84,29.8614,2.5004,13.4867,15.9363
85,29.9075,2.5202,13.523,16.1239
86,29.9535,2.546,13.5618,16.3056
87,29.9999,2.5683,13.5941,16.495
88,30.0472,2.5936,13.6327,16.6769
89,30.093000000000004,2.6144,13.6717,16.8617
90,30.1388,2.6399,13.7093,17.0442
91,30.1848,2.6637,13.7446,17.23
92,30.2306,2.6887,13.7847,17.4246
93,30.2767,2.7119,13.8189,17.6119
94,30.3226,2.7357,13.8585,17.7941
95,30.3688,2.7555,13.8939,17.982
96,30.4151,2.7809,13.933,18.1773
97,30.461,2.8054,13.9689,18.3637
98,30.506999999999998,2.8310000000000004,14.008,18.5507
99,30.5529,2.8537,14.0433,18.7322
100,30.601,2.8807,14.0837,18.9192
101,30.6513,2.9029,14.1224,19.1119
102,30.6988,2.9277,14.1614,19.2991
103,30.7467,2.9494,14.1969,19.4975
104,30.7935,2.9747,14.2367,19.6823
105,30.8401,2.9968,14.272,19.8705
106,30.8868,3.0222,14.3108,20.0537
107,30.9338,3.043,14.3469,20.2416
108,30.9799,3.0675,14.3851,20.4307
109,31.0263,3.0901,14.4217,20.6247
110,31.0727,3.1148,14.4604,20.8139
111,31.1189,3.1352,14.4962,21.0058
112,31.1653,3.1599,14.5349,21.1905
113,31.2118,3.1828,14.5713,21.3759
114,31.2593,3.2076,14.6093,21.5712
115,31.3058,3.2284,14.6442,21.7564
116,31.3526,3.253,14.6827,21.9457
117,31.3986,3.2747,14.718,22.1324
118,31.4453,3.2996,14.757,22.3151
119,31.4914,3.3212,14.7924,22.5023
120,31.5378,3.3457,14.8317,22.6891
121,31.5845,3.3685,14.8656,22.8831
122,31.6311,3.3937,14.9041,23.0667
123,31.6775,3.4156,14.939,23.2638
124,31.7234,3.4406,14.9777,23.4512
125,31.7695,3.4637,15.014000000000001,23.6351
126,31.8156,3.4888,15.0534,23.8179
127,31.863000000000003,3.5111,15.0851,24.0072
128,31.9091,3.5359,15.1246,24.1931
129,31.9553,3.5567,15.1611,24.3894
130,32.0013,3.5822,15.1996,24.575
131,32.0476,3.6047,15.2351,24.7689
132,32.094,3.6294,15.2738,24.9548
133,32.1401,3.6501,15.3087,25.1413
134,32.1866,3.6758,15.3474,25.325
135,32.2327,3.698,15.3832,25.5073
136,32.2789,3.7226,15.4225,25.6901
137,32.3255,3.7427,15.4573,25.8775
138,32.3715,3.7678,15.495,26.0622
139,32.4176,3.7917,15.5296,26.2507
140,32.4651,3.8164,15.5683,26.4396
141,32.5114,3.8383,15.6037,26.6219
142,32.5578,3.8636,15.6421,26.8084
143,32.6042,3.8844,15.6795,26.9998
144,32.650999999999996,3.9092,15.7182,27.1948
145,32.6971,3.9314,15.7534,27.3786
146,32.7434,3.9555,15.7932,27.5649
147,32.7897,3.9774,15.8269,27.7543
148,32.8361,4.0029,15.8654,27.9415
149,32.8823,4.0272,15.9011,28.1231
150,32.9302,4.0476,15.9376,28.3203
151,32.9799,4.0718,15.974,28.5068
152,33.0279,4.0965,16.0111,28.6896
153,33.0759,4.1144,16.0474,28.8737
154,33.124,4.1389,16.0846,29.0555
155,33.1718,4.1624,16.1215,29.2427
156,33.2187,4.1873,16.1586,29.4339
157,33.2654,4.2065,16.195,29.6318
158,33.3127,4.2312,16.232,29.8199
159,33.3599,4.2533,16.2693,30.0067
160,33.4067,4.2778,16.307000000000002,30.1938
161,33.4562,4.2986,16.344,30.381999999999998
162,33.5036,4.3231,16.3803,30.5643
163,33.5504,4.3466,16.4173,30.7503
164,33.5973,4.3707,16.4552,30.9445
165,33.6449,4.3924,16.489,31.1306
166,33.6919,4.4162,16.5277,31.316
167,33.7389,4.4375,16.5633,31.5057
168,33.7857,4.4623,16.6002,31.6917
169,33.8325,4.4853,16.6385,31.874000000000002
170,33.8795,4.5162,16.6715,32.0658
171,33.9266,4.5409,16.7103,32.2513
172,33.9735,4.5726,16.7476,32.4331
173,34.0203,4.5966,16.783,32.6284
174,34.0671,4.621,16.8209,32.8153
175,34.1145,4.6408,16.8573,33.0028
176,34.1619,4.6658,16.8951,33.1881
177,34.2086,4.6885,16.9324,33.3751
178,34.2562,4.713,16.9677,33.5606
179,34.3038,4.7325,17.0055,33.7433
180,34.3506,4.7577,17.0434,33.9347
181,34.398,4.7808,17.0774,34.123000000000005
182,34.4449,4.8057,17.1161,34.3083
183,34.4921,4.8249,17.1516,34.4939
184,34.5389,4.853,17.1876,34.6772
185,34.5857,4.8773,17.2256,34.8667
186,34.6327,4.902,17.2594,35.0485
187,34.6793,4.9225,17.2978,35.2336
188,34.7263,4.9482,17.335,35.4302
189,34.773,4.9717,17.3707,35.6144
190,34.8204,4.9972,17.4084,35.802
191,34.8677,5.0164,17.4455,35.9852
192,34.9146,5.0418,17.4819,36.1729
193,34.9617,5.0656,17.52,36.3576
194,35.0086,5.0895,17.5547,36.5445
195,35.0555,5.1095,17.5938,36.7311
196,35.1022,5.1346,17.6301,36.9191
197,35.1494,5.1576,17.6673,37.1037
198,35.1962,5.1825,17.7045,37.2904
199,35.2429,5.2052,17.7402,37.4754
200,35.2921,5.2325,17.7807,37.6613
201,35.3427,5.2583,17.8174,37.8539
202,35.391,5.2835,17.8556,38.045
203,35.4394,5.3066,17.8919,38.2326
204,35.4863,5.3324,17.9295,38.4314
205,35.5331,5.3556,17.9606,38.6253
206,35.58,5.3809,17.9986,38.8193
207,35.6268,5.4033,18.0341,39.0171
208,35.6737,5.4289,18.0726,39.2035
209,35.7206,5.4504,18.1045,39.3925
210,35.7676,5.4752,18.1417,39.5898
211,35.817,5.4993,18.1763,39.7767
212,35.8658,5.5262,18.2133,39.9617
213,35.9125,5.5464,18.2467,40.1547
214,35.9597,5.5705,18.2839,40.341
215,36.0066,5.5937,18.3183,40.5393
216,36.0541,5.6185,18.3556,40.7257
217,36.1009,5.6394,18.3894,40.9202
218,36.1482,5.664,18.4267,41.1032
219,36.1951,5.6827,18.4605,41.2854
220,36.242,5.7077,18.4975,41.4704
221,36.2894,5.7312,18.5308,41.6556
222,36.3368,5.7568,18.5678,41.8546
223,36.3835,5.7781,18.6018,42.0449
224,36.431,5.8031,18.639,42.2394
225,36.4789,5.8258,18.6729,42.4232
226,36.5253,5.8504,18.7116,42.608000000000004
227,36.5713,5.8749,18.7465,42.8013
228,36.6173,5.9006,18.7841,42.9859
229,36.6645,5.9218,18.8174,43.1774
230,36.7103,5.9465,18.8549,43.3641
231,36.7562,5.9685,18.8906,43.5467
232,36.8023,5.9995,18.9278,43.7404
233,36.8482,6.0248,18.9587,43.9359
234,36.8945,6.0514,18.9958,44.1276
235,36.9405,6.0743,19.032,44.3153
236,36.9877,6.1003,19.0684,44.4977
237,37.0453,6.1231,19.1009,44.6854
238,37.0976,6.1492,19.137999999999998,44.8853
239,37.1446,6.171,19.1737,45.0695
240,37.1917,6.1958,19.2107,45.2637
241,37.2396,6.2183,19.2451,45.4526
242,37.2864,6.2421,19.2826,45.6385
243,37.3325,6.2651,19.3151,45.8253
244,37.3785,6.2875,19.3523,46.0168
245,37.4247,6.3079,19.3879,46.2038
246,37.4706,6.332999999999999,19.4249,46.3905
247,37.5167,6.356,19.4566,46.5777
248,37.5626,6.3878,19.494,46.7733
249,37.6085,6.4106,19.5294,46.9638
250,37.6561,6.4368,19.5668,47.1542
251,37.7029,6.4585,19.5985,47.34
252,37.7494,6.4837,19.6359,47.5243
253,37.7959,6.5074,19.6717,47.7092
254,37.8425,6.5318,19.7089,47.8978
255,37.8888,6.5553,19.7405,48.0934
