,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,7.0384e-05
1,0.69957,0.09953300000000001,1.1253,0.080737
2,0.76377,0.10994000000000001,1.1825,0.15498
3,0.8411299999999999,0.13187000000000001,1.2165,0.22924
4,0.9018799999999999,0.17645999999999998,1.2377,0.30509000000000003
5,0.96026,0.18748,1.2797,0.38714
6,1.0168,0.21169000000000002,1.3016,0.46863
7,1.0715,0.22725,1.3725,0.55193
8,1.1254,0.31446,1.3869,0.61939
9,1.1716,0.31836,1.4072,0.69082
10,1.2135,0.32927,1.4277,0.76467
11,1.2555,0.34163000000000004,1.4461,0.83525
12,1.287,0.35339,1.464,0.90476
13,1.3215,0.36735,1.4829,0.9786600000000001
14,1.3368,0.37918,1.5002,1.0502
15,1.3491,0.39333,1.52,1.1132
16,1.3698,0.40625,1.5395,1.1793
17,1.3806,0.42171000000000003,1.5599,1.2416
18,1.3926,0.43463,1.5817,1.3063
19,1.4026,0.45083999999999996,1.6013,1.3719
20,1.4144,0.46638999999999997,1.6233,1.4349
21,1.4273,0.48294,1.6419,1.4943
22,1.4403,0.49808,1.6643,1.5567
23,1.4545,0.51545,1.6867,1.6207
24,1.4679,0.53015,1.7077,1.6807
25,1.4814,0.54916,1.7321,1.7412
26,1.4961,0.56593,1.7529,1.8045
27,1.5122,0.5845899999999999,1.7787,1.8628
28,1.5274,0.6019800000000001,1.8037,1.9213
29,1.5439,0.6219600000000001,1.8292,1.9806
30,1.5592,0.64067,1.8517,2.0403
31,1.5771,0.66079,1.8774,2.0993
32,1.5951,0.67998,1.9011,2.166
33,1.6133,0.69947,1.9268,2.2346
34,1.6312,0.71865,1.9506,2.2987
35,1.6511,0.7388399999999999,1.9763,2.3685
36,1.6712,0.75873,2.0004,2.4296
37,1.6926,0.7749199999999999,2.0263,2.4919
38,1.7153,0.7948,2.0447,2.5556
39,1.7347,0.81477,2.07,2.6152
40,1.7575,0.8322299999999999,2.0941,2.6753
41,1.7799,0.8522799999999999,2.1199,2.7346
42,1.8041,0.87198,2.1436,2.7949
43,1.829,0.88869,2.169,2.8532
44,1.8542,0.90943,2.1932,2.9122
45,1.8789,0.92758,2.2191,2.9776
46,1.9029,0.94795,2.2426,3.0364
47,1.9426,0.96534,2.2685,3.0980000000000003
48,1.9815,0.98455,2.2925,3.1594
49,2.0212,1.0069,2.3186,3.2203
50,2.0614,1.0258,2.3424,3.281
51,2.1064,1.0462,2.3678,3.3406
52,2.1455,1.0659999999999998,2.392,3.4032
53,2.1841,1.0882,2.4176,3.4625
54,2.2237,1.1098,2.4409,3.5233
55,2.2693,1.1308,2.4664,3.5834
56,2.309,1.1506,2.4905,3.6429
57,2.3478,1.1698,2.5168,3.7031
58,2.3865,1.1889,2.5404,3.7629
59,2.4257,1.2087,2.5660000000000003,3.823
60,2.4656,1.228,2.5901,3.883
61,2.5053,1.2445,2.6171,3.9425
62,2.5451,1.2645,2.6402,4.0038
63,2.5845,1.2841,2.6655,4.0634
64,2.6249,1.2990000000000002,2.6898,4.1244
65,2.6647,1.319,2.7164,4.1864
66,2.7053,1.3382,2.7407,4.2461
67,2.7454,1.3584,2.7664,4.3063
68,2.7856,1.3752,2.7908,4.3657
69,2.8264,1.3968,2.8167,4.4263
70,2.8665,1.4169,2.8397,4.4857
71,2.9074,1.4364,2.8653,4.5458
72,2.948,1.4542,2.8895,4.6068
73,2.9875,1.4746,2.9155,4.6669
74,3.0278,1.4933,2.9391,4.7267
75,3.0702,1.5118,2.9646,4.7872
76,3.1107,1.537,2.9889,4.8474
77,3.1505,1.5579,3.015,4.9078
78,3.1904,1.5794,3.0381,4.9676
79,3.235,1.5959999999999999,3.0634,5.0281
80,3.275,1.6168,3.0879,5.0879
81,3.3157,1.6358,3.1136,5.1479
82,3.3555,1.6531,3.1372,5.2102
83,3.3999,1.6739,3.1630000000000003,5.2703
84,3.4402,1.6933,3.1883,5.33
85,3.4805,1.7099,3.215,5.3911
86,3.5209,1.7345,3.2389,5.4503
87,3.5666,1.7544,3.2643,5.5126
88,3.6077,1.7733,3.2886,5.5736
89,3.6476,1.7918,3.3148,5.6349
90,3.6875,1.8115,3.3384,5.696000000000001
91,3.7317,1.8316,3.3637,5.7581
92,3.7714,1.8481,3.3882,5.8208
93,3.8118,1.8689,3.4142,5.8837
94,3.8516,1.8887,3.4371,5.9449
95,3.8963,1.9058,3.4626,6.0065
96,3.9361,1.9269999999999998,3.4869,6.0661
97,3.9758,1.9452,3.5129,6.1263
98,4.0163,1.965,3.5365,6.1866
99,4.0619,1.9848,3.5618,6.2481
100,4.1071,2.0047,3.5882,6.3079
101,4.1509,2.0281,3.6162,6.3737
102,4.1925,2.0468,3.6384,6.4338
103,4.243,2.0669,3.6633,6.4942
104,4.2839,2.0873,3.6875,6.5533
105,4.3224,2.1078,3.7135,6.614
106,4.3642,2.1278,3.7399,6.6733
107,4.4029,2.1509,3.7706,6.7333
108,4.4413,2.1887,3.7966,6.7929
109,4.48,2.2262,3.8226,6.8541
110,4.5212,,3.8456,6.9138
111,4.5649,,3.8711,6.9756
112,4.6115,,3.8957,7.0346
113,4.6517,,3.9211,7.0955
114,4.696000000000001,,3.9445,7.1557
115,4.7372,,3.9697,7.2174
116,4.7812,,3.9930000000000003,7.2773
117,4.8226,,4.0177,7.3376
118,4.8629,,4.0414,7.398
119,4.9033,,4.066,7.4587
120,4.9434,,4.0895,7.5196
121,4.9849,,4.1141,7.5835
