,ALM,LQH,LSE,Riemannian_SQP,log10residual
0,0.0,0.0,0.0,4.3808000000000005e-05,-3
1,0.0,0.0,0.0,4.3808000000000005e-05,-2
2,0.0,0.0,0.0,4.3808000000000005e-05,-1
3,1.5398,0.0,1.1981,0.067994,0
4,1.6408,0.063318,1.1981,0.38275,1
5,1.8326,0.063318,2.4903,0.74757,2
6,2.0125,0.063318,2.7164,0.80705,3
7,2.0868,0.14456,2.8463,0.8654700000000001,4
8,2.2314,0.19722,2.8627,0.8654700000000001,5
9,2.2896,0.30535999999999996,2.9519,0.8654700000000001,6
10,2.4089,,,0.92368,7
11,2.4478,,,2.82,8
12,,,,165.2929,9
13,,,,186.0078,10
