,RALM,REPM(LQH),REPM(LSE),RSQO
0,0.0,0.0,0.0,3.1429e-05
1,1.2104,0.14849,1.7348,0.45438
2,2.8368,0.20345,3.7621,9.9309
3,4.5734,0.34098,5.8217,10.4158
4,6.4607,0.8558,6.5487,10.8659
5,8.1178,0.8997700000000001,8.6613,11.3073
6,9.8174,1.1268,11.0304,11.7461
7,11.5419,1.4699,13.1004,12.2053
8,13.1069,1.7848,15.1149,12.7103
9,14.8547,2.2653,17.0417,13.1869
10,16.469,2.7267,19.1705,13.6159
11,18.0942,3.2960000000000003,20.8629,14.0608
12,19.7986,3.8621,22.7091,14.5758
13,21.4555,4.4975,24.7443,15.1286
14,23.1007,5.2143,26.6916,15.6139
15,24.6336,5.9013,28.7654,16.0516
16,26.5199,6.5656,30.7947,16.4998
17,28.3069,7.3201,32.6635,16.9644
18,30.111,8.1923,34.4045,17.4912
19,31.9116,8.9525,36.118,17.9643
20,33.6199,9.626,37.6732,18.4226
21,33.6878,10.4465,39.1819,18.884
22,33.7552,11.1416,41.068999999999996,19.3745
23,33.8214,11.8979,42.5535,19.8555
24,33.8989,12.5987,44.0482,20.2903
25,33.9653,13.4138,45.4105,20.783
26,34.0414,14.2107,46.9979,21.2316
27,34.1137,14.9011,48.43,21.6946
28,34.1803,15.6216,50.3231,22.144000000000002
29,34.2583,16.2573,51.6858,22.5715
30,34.3254,17.0244,52.2071,23.0438
31,34.405,17.6518,53.4273,23.5452
32,34.4713,17.6908,53.4727,23.9809
33,34.5537,17.7268,53.5176,24.4357
34,34.6225,17.7659,53.5617,24.864
35,34.6937,17.8006,53.6068,25.2979
36,34.7846,17.8394,53.6737,25.7485
37,34.8542,17.8763,53.7409,26.1828
38,34.924,17.9168,,26.6223
39,34.9982,17.9527,,27.0648
40,35.0671,17.9918,,27.5028
41,35.1369,18.0366,,27.9558
42,35.2247,18.0834,,28.4168
43,35.2938,18.1198,,28.8737
44,35.3714,18.1631,,29.3045
45,35.4409,18.2271,,29.7477
46,35.5196,18.2908,,30.2124
47,35.5947,18.3555,,30.6666
48,35.665,,,31.1388
49,35.7413,,,31.5796
50,35.8102,,,32.0214
51,35.8815,,,32.4693
52,35.955,,,32.9168
53,36.0238,,,33.3826
54,36.0954,,,33.8204
55,36.167,,,34.279
56,36.243,,,34.7119
57,36.3202,,,35.1351
58,36.3931,,,35.6092
59,36.4774,,,36.1345
60,36.5473,,,36.5746
61,36.6272,,,37.0103
62,36.696999999999996,,,37.4717
63,36.773,,,37.9381
64,36.843,,,38.4043
65,36.9172,,,38.8428
66,36.9868,,,39.3429
67,37.056999999999995,,,39.8809
68,37.128,,,40.3553
69,37.1982,,,40.8354
70,37.2682,,,41.2781
71,37.3408,,,41.7167
72,37.4119,,,42.2038
73,37.4824,,,42.744
